,pl_hostname,pl_letter,pl_name,pl_discmethod,pl_controvflag,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_ttvflag,pl_kepflag,pl_k2flag,ra_str,ra,dec_str,dec,st_dist,st_disterr1,st_disterr2,st_distlim,gaia_dist,gaia_disterr1,gaia_disterr2,gaia_distlim,st_optmag,st_optmagerr,st_optmaglim,gaia_gmag,gaia_gmagerr,gaia_gmaglim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_mass,st_masserr1,st_masserr2,st_masslim,st_rad,st_raderr1,st_raderr2,st_radlim,rowupdate,pl_tranflag,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim,pl_trandur,pl_trandurerr1,pl_trandurerr2,pl_trandurlim,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,pl_imppar,pl_impparerr1,pl_impparerr2,pl_impparlim,pl_facility,st_j,st_jerr,st_jlim,st_h,st_herr,st_hlim,dec_str_deg
99,GJ 1214,b,GJ 1214 b,Transit,0,1,1.58040456,1.6e-07,-1.6e-07,0.0,0.01411,0.00032,-0.00032,0.0,,,,,88.17,0.54,-0.54,0.0,0.0197,0.0027,-0.0027,0.0,Mass,0.254,0.018000000000000002,-0.018000000000000002,0.0,1.49,0.33,-0.33,0.0,0,0,0,17h15m18.92s,258.828837,+04d57m50.1s,4.96392,14.65,0.04,-0.04,0.0,14.65,0.04,-0.04,0.0,15.1,0.6,0.0,13.009,,0.0,3026.0,150.0,-150.0,0.0,0.15,0.01,-0.01,0.0,0.22,0.01,-0.01,0.0,2015-12-03,1,6.26125,0.85814,-0.85814,0.0,,,,,2455320.5357330004,2.1e-05,-2.1e-05,0.0,,,,,MEarth Project,9.75,0.024,0.0,9.094,0.024,0.0,4.963916666666667
128,CoRoT-1,b,CoRoT-1 b,Transit,0,1,1.5089557,6.4e-06,-6.4e-06,0.0,,,,,0.0,,,0.0,85.1,0.5,-0.5,0.0,1.03,0.12,-0.12,0.0,Mass,1.49,0.08,-0.08,0.0,0.38,0.05,-0.05,0.0,0,0,0,06h48m19.17s,102.079885,-03d06m07.7s,-3.102147,805.31,24.33,-24.33,0.0,805.31,24.33,-24.33,0.0,13.6,,0.0,13.457,,0.0,5950.0,150.0,-150.0,0.0,0.95,0.15,-0.15,0.0,1.11,0.05,-0.05,0.0,2014-05-14,1,327.35,38.14,-38.14,0.0,,,,,2454159.4532,0.0001,-0.0001,0.0,,,,,CoRoT,12.462,0.028999999999999998,0.0,12.218,0.026000000000000002,0.0,-2.897861111111111
129,CoRoT-2,b,CoRoT-2 b,Transit,0,1,1.7429935,1e-06,-1e-06,0.0,0.02798,0.0007599999999999999,-0.0008,0.0,0.0143,0.0077,-0.0076,0.0,88.08,0.18,-0.16,0.0,3.47,0.22,-0.22,0.0,Mass,1.466,0.042,-0.044000000000000004,0.0,1.47,0.08,-0.074,0.0,1,0,0,19h27m06.49s,291.777056,+01d23m01.4s,1.3837139999999999,200.0,,,0.0,214.56,2.47,-2.47,0.0,12.57,,0.0,12.249,,0.0,5625.0,120.0,-120.0,0.0,0.96,0.08,-0.08,0.0,0.91,0.03,-0.03,0.0,2014-05-14,1,1102.82,69.92,-69.92,0.0,0.09446,0.00011,-0.0001,0.0,2454237.5355599998,0.0002,-0.00021,0.0,0.221,0.017,-0.019,0.0,CoRoT,10.783,0.027999999999999997,0.0,10.437999999999999,0.037000000000000005,0.0,1.3837222222222223
130,CoRoT-3,b,CoRoT-3 b,Transit,0,1,4.2568,5e-06,-5e-06,0.0,,,,,0.0,,,0.0,85.9,0.8,-0.8,0.0,21.66,1.0,-1.0,0.0,Mass,1.01,0.07,-0.07,0.0,26.4,5.6,-5.6,0.0,0,0,0,19h28m13.26s,292.05526299999997,+00d07m18.6s,0.12182,680.0,160.0,-160.0,0.0,784.49,30.6,-30.6,0.0,13.292,0.02,0.0,13.219000000000001,,0.0,6740.0,140.0,-140.0,0.0,1.37,0.09,-0.09,0.0,1.56,0.09,-0.09,0.0,2014-05-14,1,6883.91,317.8,-317.8,0.0,,,,,2454283.1383,0.0003,-0.0003,0.0,0.55,0.08,-0.08,0.0,CoRoT,11.936,0.03,0.0,11.71,0.042,0.0,0.12183333333333334
131,CoRoT-4,b,CoRoT-4 b,Transit,0,1,9.20205,0.00037,-0.00037,0.0,0.09,0.001,-0.001,0.0,0.0,0.1,-0.1,0.0,90.0,0.0,-0.085,0.0,0.72,0.08,-0.08,0.0,Mass,1.19,0.06,-0.05,0.0,0.525,0.15,-0.15,0.0,0,0,0,06h48m46.72s,102.194663,-00d40m22.0s,-0.672774,741.6,15.39,-15.39,0.0,741.6,15.39,-15.39,0.0,,,,13.561,,0.0,6190.0,60.0,-60.0,0.0,1.16,0.03,-0.02,0.0,1.17,0.01,-0.03,0.0,2014-05-14,1,228.83,25.43,-25.43,0.0,,,,,2454141.36416,0.0008900000000000001,-0.0008900000000000001,0.0,,,,,CoRoT,12.619000000000002,0.026000000000000002,0.0,12.359000000000002,0.028999999999999998,0.0,0.6727777777777777
132,CoRoT-5,b,CoRoT-5 b,Transit,0,1,4.0378962,1.9e-06,-1.9e-06,0.0,0.04947,0.00026000000000000003,-0.00029,0.0,0.09,0.09,-0.04,0.0,85.83,0.99,-1.38,0.0,0.467,0.047,-0.024,0.0,Mass,1.3880000000000001,0.046,-0.047,0.0,0.217,0.031,-0.025,0.0,0,0,0,06h45m06.54s,101.277254,+00d48m54.9s,0.815239,904.65,26.7,-26.7,0.0,904.65,26.7,-26.7,0.0,,,,13.902000000000001,,0.0,6100.0,65.0,-65.0,0.0,1.0,0.02,-0.02,0.0,1.19,0.04,-0.04,0.0,2014-05-14,1,148.42,14.937,-7.628,0.0,,,,,2454400.19885,0.0002,-0.0002,0.0,0.755,0.017,-0.022,0.0,CoRoT,12.870999999999999,0.021,0.0,12.609000000000002,0.031,0.0,0.81525
133,CoRoT-6,b,CoRoT-6 b,Transit,0,1,8.886593,4e-06,-4e-06,0.0,0.0855,0.0015,-0.0015,0.0,0.1,,,1.0,89.07,0.3,-0.3,0.0,2.96,0.34,-0.34,0.0,Mass,1.166,0.035,-0.035,0.0,2.32,0.31,-0.31,0.0,0,0,0,18h44m17.41s,281.072525,+06d39m47.5s,6.663194,657.24,12.58,-12.58,0.0,657.24,12.58,-12.58,0.0,13.912,0.021,0.0,13.745999999999999,,0.0,6090.0,70.0,-70.0,0.0,1.05,0.05,-0.05,0.0,1.02,0.03,-0.03,0.0,2014-05-14,1,940.74,108.06,-108.06,0.0,0.17,0.0008,-0.0008,0.0,2454595.6144,0.0002,-0.0002,0.0,0.291,0.091,-0.091,0.0,CoRoT,12.517999999999999,0.021,0.0,12.228,0.02,0.0,6.663194444444445
134,CoRoT-7,b,CoRoT-7 b,Transit,0,2,0.85359163,1e-08,-1e-08,0.0,,,,0.0,0.0,,,0.0,80.1,0.3,-0.3,0.0,0.01,0.0,0.0,0.0,Mass,0.15,0.01,-0.01,0.0,,,,0.0,0,0,0,06h43m49.47s,100.956125,-01d03m46.9s,-1.063033,160.64,0.91,-0.91,0.0,160.64,0.91,-0.91,0.0,11.668,0.008,0.0,11.524000000000001,,0.0,5275.0,75.0,-75.0,0.0,0.82,0.17,-0.17,0.0,0.83,0.04,-0.04,0.0,2018-12-06,1,3.1783,0.0,0.0,0.0,,,,0.0,,,,0.0,,,,0.0,CoRoT,10.300999999999998,0.021,0.0,9.88,0.02,0.0,-0.9369722222222222
136,CoRoT-8,b,CoRoT-8 b,Transit,0,1,6.21229,3e-05,-3e-05,0.0,0.063,0.001,-0.001,0.0,0.0,,,0.0,88.4,0.1,-0.1,0.0,0.22,0.03,-0.03,0.0,Mass,0.57,0.02,-0.02,0.0,1.6,0.1,-0.1,0.0,0,0,0,19h26m21.24s,291.588518,+01d25m35.2s,1.426452,380.0,30.0,-30.0,0.0,325.03,2.74,-2.74,0.0,14.8,,0.0,14.22,,0.0,5080.0,80.0,-80.0,0.0,0.88,0.04,-0.04,0.0,0.77,0.02,-0.02,0.0,2014-05-14,1,69.92,9.53,-9.53,0.0,0.1142,0.0008,-0.0008,0.0,2454238.9743,0.0004,-0.0004,0.0,0.49,0.04,-0.04,0.0,CoRoT,12.154000000000002,0.023,0.0,11.640999999999998,0.024,0.0,1.4264444444444446
137,CoRoT-9,b,CoRoT-9 b,Transit,0,1,95.272656,6.8e-05,-6.8e-05,0.0,0.4021,0.0054,-0.0054,0.0,0.133,0.042,-0.037,0.0,89.9,0.066,-0.084,0.0,0.84,0.05,-0.05,0.0,Mass,1.0659999999999998,0.075,-0.063,0.0,0.86,0.18,-0.16,0.0,0,0,0,18h43m08.81s,280.786712,+06d12m15.0s,6.204172,417.89,4.75,-4.75,0.0,417.89,4.75,-4.75,0.0,13.69,,0.0,13.501,,0.0,5625.0,80.0,-80.0,0.0,0.96,0.04,-0.04,0.0,0.96,0.06,-0.06,0.0,2017-12-14,1,266.9772,15.8915,-15.8915,0.0,0.3445,0.0021,-0.0018,0.0,2455365.52723,0.00037,-0.00037,0.0,0.16,0.11,-0.09,0.0,CoRoT,12.175,0.027999999999999997,0.0,11.812999999999999,0.021,0.0,6.204166666666667
