Name,obs_time,Primary eclipse observable?,Transit Length,Number of exposures possible,S/N median,Minimum S/N,Maximum S/N,Minimum Exposure Time,Maximum Exposure Time
HR 858 d,2020-10-17 04:23:13.919990,True,3.4344 h,872,92.63312348884305,"(0.0, 0.0)",0.0,14.166666666666668,14.166666666666668
HR 858 d,2020-12-01 02:28:01.919990,True,3.4344 h,872,95.20249026564667,"(0.0, 0.0)",0.0,13.333333333333334,14.166666666666668
HR 858 b,2020-09-30 07:14:26.879992,True,2.7096 h,731,94.99663465781043,"(0.0, 0.0)",0.0,13.333333333333334,13.333333333333334
HR 858 b,2020-10-18 05:33:34.559992,True,2.7096 h,688,95.30649010447937,"(0.0, 0.0)",0.0,13.333333333333334,14.166666666666668
HR 858 b,2020-11-05 03:52:42.239992,True,2.7096 h,688,92.53591007474752,"(0.0, 0.0)",0.0,13.333333333333334,14.166666666666668
HR 858 b,2020-11-23 02:11:49.919992,True,2.7096 h,688,92.64143087078958,"(0.0, 0.0)",0.0,14.166666666666668,14.166666666666668
HR 858 b,2021-01-05 02:57:44.351992,True,2.7096 h,688,92.26076103019427,"(0.0, 0.0)",0.0,13.333333333333334,14.166666666666668
GJ 143 b,2020-10-11 06:54:56.159997,True,3.2299992 h,606,91.27635150246994,"(0.0, 0.0)",0.0,19.166666666666668,19.166666666666668
HD 21749 c,2020-11-20 02:11:44.735988,True,2.5150008 h,472,91.58527933045971,"(0.0, 0.0)",0.0,19.166666666666668,19.166666666666668
DS Tuc A b,2020-08-03 06:05:53.375985,True,3.1764 h,198,91.64893195310589,"(0.0, 0.0)",0.0,57.5,57.5
DS Tuc A b,2020-09-29 05:19:37.862385,True,3.1764 h,198,90.52776060288483,"(0.0, 0.0)",0.0,57.5,57.5
LTT 1445 A b,2020-10-08 06:58:21.791988,True,1.3776 h,123,92.9194917324478,"(0.0, 0.0)",0.0,40.0,40.0
LTT 1445 A b,2020-11-20 03:51:58.175988,True,1.3776 h,123,93.01886133776671,"(0.0, 0.0)",0.0,40.0,40.0
LTT 1445 A b,2020-12-06 05:42:04.319988,True,1.3776 h,123,91.40128811838758,"(0.0, 0.0)",0.0,40.0,40.0
LTT 1445 A b,2021-01-18 02:35:40.703988,True,1.3776 h,123,92.04356712403468,"(0.0, 0.0)",0.0,40.0,40.0
LTT 1445 A b,2020-09-22 05:08:15.647988,True,1.3776 h,119,92.41688740070097,"(0.0, 0.0)",0.0,40.0,41.66666666666667
LTT 1445 A b,2020-11-04 02:01:52.031988,True,1.3776 h,119,92.07879890455824,"(0.0, 0.0)",0.0,40.0,41.66666666666667
HD 15337 b,2020-11-14 04:32:45.024017,True,2.4899999999999998 h,112,92.08024570086158,"(0.0, 0.0)",0.0,80.0,80.0
HD 15337 b,2020-08-25 08:02:11.904017,True,2.4899999999999998 h,112,93.17408527908034,"(0.0, 0.0)",0.0,80.0,80.0
HD 15337 b,2020-10-26 03:57:19.584017,True,2.4899999999999998 h,112,93.1761580634807,"(0.0, 0.0)",0.0,80.0,80.0
HD 15337 b,2020-08-06 07:26:46.464017,True,2.4899999999999998 h,108,92.7299804312355,"(0.0, 0.0)",0.0,80.0,82.5
HD 15337 b,2020-10-07 03:21:54.144017,True,2.4899999999999998 h,108,92.71078144205589,"(0.0, 0.0)",0.0,80.0,82.5
HD 106315 c,2021-03-22 04:40:10.711996,True,4.638 h,104,92.49517171809408,"(0.0, 0.0)",0.0,160.0,160.0
HD 106315 b,2021-02-22 06:22:45.848014,True,3.7750008 h,84,93.1110924765382,"(0.0, 0.0)",0.0,160.0,160.0
HD 106315 b,2021-04-30 03:10:39.224014,True,3.7750008 h,84,91.67909526381365,"(0.0, 0.0)",0.0,160.0,160.0
WASP-166 b,2021-01-01 05:42:24.920007,True,3.5999999999999996 h,68,93.69441042785826,"(0.0, 0.0)",0.0,190.0,190.0
WASP-166 b,2021-02-19 05:30:41.624007,True,3.5999999999999996 h,68,91.53453207907137,"(0.0, 0.0)",0.0,190.0,190.0
WASP-166 b,2021-03-02 02:48:05.336007,True,3.5999999999999996 h,68,93.51218238271795,"(0.0, 0.0)",0.0,190.0,190.0
GJ 9827 c,2020-07-21 08:46:31.704318,True,1.82496 h,62,93.23689838461648,"(0.0, 0.0)",0.0,105.41666666666666,105.41666666666666
GJ 9827 c,2020-08-01 07:26:18.109758,True,1.82496 h,62,93.72320470945616,"(0.0, 0.0)",0.0,105.41666666666666,105.41666666666666
GJ 9827 c,2020-08-12 06:06:04.515198,True,1.82496 h,62,93.88780889297169,"(0.0, 0.0)",0.0,105.41666666666666,105.41666666666666
GJ 9827 c,2020-08-23 04:45:50.920638,True,1.82496 h,62,93.87644977350207,"(0.0, 0.0)",0.0,105.41666666666666,105.41666666666666
GJ 9827 c,2020-11-15 02:30:46.695678,True,1.82496 h,62,91.40453735387094,"(0.0, 0.0)",0.0,105.41666666666666,105.41666666666666
L 98-59 c,2021-03-20 02:54:46.454399,True,1.2400008 h,60,92.36538624162971,"(0.0, 0.0)",0.0,73.33333333333334,73.33333333333334
L 98-59 c,2021-04-26 00:39:42.998399,True,1.2400008 h,60,92.27003526965592,"(0.0, 0.0)",0.0,73.33333333333334,73.33333333333334
L 98-59 c,2021-01-05 07:24:53.366399,True,1.2400008 h,60,90.44525719240968,"(0.0, 0.0)",0.0,73.33333333333334,73.33333333333334
L 98-59 c,2021-01-31 03:26:20.947199,True,1.2400008 h,60,90.98819668757294,"(0.0, 0.0)",0.0,73.33333333333334,73.33333333333334
L 98-59 c,2021-02-11 05:09:49.910399,True,1.2400008 h,60,90.34945983857355,"(0.0, 0.0)",0.0,73.33333333333334,73.33333333333334
L 98-59 c,2021-03-09 01:11:17.491199,True,1.2400008 h,60,90.99137420309808,"(0.0, 0.0)",0.0,73.33333333333334,73.33333333333334
L 98-59 c,2020-12-25 05:41:24.403199,True,1.2400008 h,60,90.96888510909878,"(0.0, 0.0)",0.0,73.33333333333334,73.33333333333334
WASP-76 b,2020-10-24 03:41:13.569604,True,3.6936 h,57,92.0207389388336,"(0.0, 0.0)",0.0,230.0,230.0
WASP-76 b,2020-11-22 02:40:59.976004,True,3.6936 h,57,91.16431313744252,"(0.0, 0.0)",0.0,230.0,230.0
L 98-59 b,2021-04-26 00:20:11.328019,True,1.02 h,50,90.39391859275742,"(0.0, 0.0)",0.0,73.33333333333334,73.33333333333334
L 98-59 b,2020-11-28 07:21:45.792019,True,1.02 h,50,90.93994173997346,"(0.0, 0.0)",0.0,73.33333333333334,73.33333333333334
L 98-59 b,2020-12-07 07:39:50.976019,True,1.02 h,50,90.98528129612546,"(0.0, 0.0)",0.0,73.33333333333334,73.33333333333334
