Name,obs_time,Primary eclipse observable?,Transit Length,Number of exposures possible,S/N median,Minimum S/N,Maximum S/N,Minimum Exposure Time,Maximum Exposure Time
HR 858 d,2020-12-01 02:28:01.919990,True,3.4344 h,872,95.20248855018653,0.0,157.05746057036208,13.333333333333334,14.166666666666668
HR 858 d,2020-10-17 04:23:13.919990,True,3.4344 h,872,92.63312348884305,0.0,152.36253109164699,14.166666666666668,14.166666666666668
HR 858 b,2020-09-30 07:14:26.879992,True,2.7096 h,731,94.9969283933467,0.0,157.0277002916555,13.333333333333334,13.333333333333334
HR 858 b,2020-11-05 03:52:42.239992,True,2.7096 h,688,92.5363516600016,0.0,152.35362227530254,13.333333333333334,14.166666666666668
HR 858 b,2021-01-05 02:57:44.351992,True,2.7096 h,688,92.2608026732681,0.0,156.57299190864734,13.333333333333334,14.166666666666668
HR 858 b,2020-10-18 05:33:34.559992,True,2.7096 h,688,95.30663252772027,0.0,157.06803991269047,13.333333333333334,14.166666666666668
HR 858 b,2020-11-23 02:11:49.919992,True,2.7096 h,688,92.64148031099148,0.0,152.36392129294822,14.166666666666668,14.166666666666668
GJ 143 b,2020-10-11 06:54:56.159997,True,3.2299992 h,606,91.27635898274248,0.0,151.43890578502547,19.166666666666668,19.166666666666668
HD 21749 c,2020-11-20 02:11:44.735988,True,2.5150008 h,472,91.58556643219131,0.0,151.4952405853552,19.166666666666668,19.166666666666668
DS Tuc A b,2020-09-29 05:19:37.862385,True,3.1764 h,198,90.52775151507903,0.0,153.39768636970618,57.5,57.5
DS Tuc A b,2020-08-03 06:05:53.375985,True,3.1764 h,198,91.64891742307755,0.0,153.61842220394055,57.5,57.5
LTT 1445 A b,2020-11-20 03:51:58.175988,True,1.3776 h,123,93.01886133776736,0.0,147.02935342836557,40.0,40.0
LTT 1445 A b,2020-10-08 06:58:21.791988,True,1.3776 h,123,92.91949039087788,0.0,147.02192406712675,40.0,40.0
LTT 1445 A b,2020-12-06 05:42:04.319988,True,1.3776 h,123,91.40128733462338,0.0,149.83643451047598,40.0,40.0
LTT 1445 A b,2021-01-18 02:35:40.703988,True,1.3776 h,123,92.043567132894,0.0,149.89264654256172,40.0,40.0
GJ 357 b,2020-12-26 07:19:41.376017,True,1.53 h,120,94.78047776651844,0.0,150.0038644914583,45.833333333333336,45.833333333333336
GJ 357 b,2020-12-30 05:39:55.584017,True,1.53 h,120,94.51399055784422,0.0,149.95964224518212,45.833333333333336,45.833333333333336
GJ 357 b,2021-05-01 02:07:16.032017,True,1.53 h,120,92.21011504534562,0.0,149.70918856656297,45.833333333333336,45.833333333333336
GJ 357 b,2021-02-23 06:23:14.496017,True,1.53 h,120,92.38881648407138,0.0,149.72571356214533,45.833333333333336,45.833333333333336
GJ 357 b,2021-03-03 03:03:42.912017,True,1.53 h,120,94.77305264732203,0.0,150.00255167206274,45.833333333333336,45.833333333333336
GJ 357 b,2021-03-07 01:23:57.120017,True,1.53 h,120,94.56446575117741,0.0,149.9682534458414,45.833333333333336,45.833333333333336
GJ 357 b,2021-05-05 00:27:30.240017,True,1.53 h,120,94.06263997682457,0.0,149.9121036494349,45.833333333333336,45.833333333333336
LTT 1445 A b,2020-11-04 02:01:52.031988,True,1.3776 h,119,92.0787954854975,0.0,146.97290210847973,40.0,41.66666666666667
LTT 1445 A b,2020-09-22 05:08:15.647988,True,1.3776 h,119,92.41688740070097,0.0,146.99097768602869,40.0,41.66666666666667
HD 15337 b,2020-10-26 03:57:19.584017,True,2.4899999999999998 h,112,93.17623495641041,0.0,151.79502349848403,80.0,80.0
HD 15337 b,2020-11-14 04:32:45.024017,True,2.4899999999999998 h,112,92.08105491825094,0.0,151.6576326293829,80.0,80.0
HD 15337 b,2020-08-25 08:02:11.904017,True,2.4899999999999998 h,112,93.17418547079978,0.0,151.7946633738989,80.0,80.0
HD 15337 b,2020-10-07 03:21:54.144017,True,2.4899999999999998 h,108,92.70989935122458,0.0,151.73995993432473,80.0,82.5
HD 15337 b,2020-08-06 07:26:46.464017,True,2.4899999999999998 h,108,92.7296328373707,0.0,151.74151099384292,80.0,82.5
HD 106315 c,2021-03-22 04:40:10.711996,True,4.638 h,104,92.49416940047587,0.0,155.19427374468626,160.0,160.0
HD 106315 b,2021-02-22 06:22:45.848014,True,3.7750008 h,84,93.11005145330577,0.0,155.2914751981977,160.0,160.0
HD 106315 b,2021-04-30 03:10:39.224014,True,3.7750008 h,84,91.67881810336362,0.0,155.04120106967554,160.0,160.0
WASP-166 b,2021-03-02 02:48:05.336007,True,3.5999999999999996 h,68,93.51216740835338,0.0,153.92775374184146,190.0,190.0
WASP-166 b,2021-02-19 05:30:41.624007,True,3.5999999999999996 h,68,91.53453207904437,0.0,153.64914304209054,190.0,190.0
WASP-166 b,2021-01-01 05:42:24.920007,True,3.5999999999999996 h,68,93.69438040703372,0.0,153.95074738188455,190.0,190.0
GJ 9827 c,2020-07-21 08:46:31.704318,True,1.82496 h,62,93.23669357514748,0.0,152.1016793226122,105.41666666666666,105.41666666666666
GJ 9827 c,2020-11-15 02:30:46.695678,True,1.82496 h,62,91.40414434056537,0.0,151.7878251841856,105.41666666666666,105.41666666666666
GJ 9827 c,2020-08-23 04:45:50.920638,True,1.82496 h,62,93.87644882486072,0.0,152.18028419094915,105.41666666666666,105.41666666666666
GJ 9827 c,2020-08-12 06:06:04.515198,True,1.82496 h,62,93.88773573097274,0.0,152.18222934286067,105.41666666666666,105.41666666666666
GJ 9827 c,2020-08-01 07:26:18.109758,True,1.82496 h,62,93.72307893813613,0.0,152.15716401935944,105.41666666666666,105.41666666666666
L 98-59 c,2020-12-25 05:41:24.403199,True,1.2400008 h,60,90.9688849258885,0.0,147.36787686154213,73.33333333333334,73.33333333333334
L 98-59 c,2021-01-05 07:24:53.366399,True,1.2400008 h,60,90.44525627378124,0.0,147.32803242043266,73.33333333333334,73.33333333333334
L 98-59 c,2021-02-11 05:09:49.910399,True,1.2400008 h,60,90.3494601980035,0.0,147.32026458903712,73.33333333333334,73.33333333333334
L 98-59 c,2021-01-31 03:26:20.947199,True,1.2400008 h,60,90.98819228585344,0.0,147.36889600796204,73.33333333333334,73.33333333333334
L 98-59 c,2021-03-09 01:11:17.491199,True,1.2400008 h,60,90.99137420348404,0.0,147.36934411875365,73.33333333333334,73.33333333333334
L 98-59 c,2021-03-20 02:54:46.454399,True,1.2400008 h,60,92.36538660114397,0.0,150.6618483575257,73.33333333333334,73.33333333333334
L 98-59 c,2021-04-26 00:39:42.998399,True,1.2400008 h,60,92.27002751401906,0.0,150.65230108432362,73.33333333333334,73.33333333333334
WASP-76 b,2020-11-22 02:40:59.976004,True,3.6936 h,57,91.16431330118235,0.0,153.41392188832512,230.0,230.0
WASP-76 b,2020-10-24 03:41:13.569604,True,3.6936 h,57,92.02073841617629,0.0,153.5645985128147,230.0,230.0
L 98-59 b,2021-02-24 04:18:06.336019,True,1.02 h,50,90.41436110137361,0.0,147.32567878109668,73.33333333333334,73.33333333333334
L 98-59 b,2021-02-06 03:41:55.968019,True,1.02 h,50,90.98128326121827,0.0,147.36848117079583,73.33333333333334,73.33333333333334
