Name,obs_time,Primary eclipse observable?,Transit Length,Number of exposures possible,S/N median,Minimum S/N,Maximum S/N,Minimum Exposure Time,Maximum Exposure Time
DS Tuc A b,2020-08-03 06:05:53.375985,True,3.1764 h,95,90.75943557587073,0.0,156.33592570258094,120.0,120.0
HD 15337 b,2020-08-06 07:26:46.464017,True,2.4899999999999998 h,56,94.60025743942856,0.0,161.36122364281866,160.0,160.0
HD 15337 b,2020-08-25 08:02:11.904017,True,2.4899999999999998 h,56,94.9189206253324,0.0,161.4183685318447,160.0,160.0
GJ 9827 c,2020-08-23 04:45:50.920638,True,1.82496 h,32,93.29416685259756,0.0,160.60485776906532,200.0,200.0
GJ 9827 c,2020-08-12 06:06:04.515198,True,1.82496 h,32,93.30835846665511,0.0,160.60693114741542,200.0,200.0
GJ 9827 c,2020-08-01 07:26:18.109758,True,1.82496 h,32,93.14415617845546,0.0,160.58018239416617,200.0,200.0
GJ 9827 c,2020-07-21 08:46:31.704318,True,1.82496 h,32,92.83398764385745,0.0,160.52099636998204,200.0,200.0
GJ 9827 b,2020-08-19 07:05:53.441619,True,1.2648 h,22,92.86503399119889,0.0,160.52803260821472,200.0,200.0
GJ 9827 b,2020-07-04 08:30:24.067539,True,1.2648 h,22,93.32117732690003,0.0,160.60845997043904,200.0,200.0
GJ 9827 b,2020-07-21 06:43:28.573779,True,1.2648 h,22,93.15907681302474,0.0,160.5831305885928,200.0,200.0
GJ 9827 b,2020-07-27 07:48:08.754579,True,1.2648 h,22,93.2062613311461,0.0,160.59435663686065,200.0,200.0
GJ 9827 b,2020-08-02 08:52:48.935379,True,1.2648 h,22,92.2977382465273,0.0,160.40948914846737,200.0,200.0
GJ 9827 b,2020-08-13 06:01:13.260819,True,1.2648 h,22,93.32613297639651,0.0,160.60946355455053,200.0,200.0
GJ 9827 b,2020-09-11 06:23:38.128659,True,1.2648 h,22,92.17821328722512,0.0,160.38035820356615,200.0,200.0
GJ 9827 b,2020-08-25 08:10:33.622419,True,1.2648 h,22,91.45248249864358,0.0,160.18373527747943,200.0,200.0
GJ 9827 b,2020-08-30 04:14:17.767059,True,1.2648 h,22,93.19354697652557,0.0,160.59100975354747,200.0,200.0
GJ 9827 d,2020-06-30 08:48:16.429749,True,1.2228 h,22,93.32193063294332,0.0,160.60866120657155,200.0,200.0
GJ 9827 d,2020-07-31 08:58:51.383349,True,1.2228 h,22,92.34011433008038,0.0,160.41991381010064,200.0,200.0
GJ 9827 d,2020-08-25 04:19:19.346229,True,1.2228 h,22,93.11792945818415,0.0,160.57401429486998,200.0,200.0
GJ 9827 b,2020-06-28 07:25:43.886739,True,1.2648 h,22,92.73681391086673,0.0,160.50191402565238,200.0,200.0
,time,airmass,moon sep,moon phase,az,alt
Eclipse Begin : GJ 9827 b,2020-06-28 06:47:47.246739,1.5014370550563003,164.9378749184045,88.33421943117273,67.72366333007812,41.76128387451172
Eclipse Mid,2020-06-28 07:25:43.886739,1.3146130027079879,164.5294022837617,88.76030658172029,59.83808898925781,49.524192810058594
Eclipse End,2020-06-28 08:03:40.526739,1.1981074958409275,164.10152925823775,89.20159161862732,49.176979064941406,56.579376220703125
Eclipse Begin : GJ 9827 b,2020-07-04 07:52:27.427539,1.1710516945842881,81.22129588337182,168.20061003201877,44.85348892211914,58.642086029052734
Eclipse Mid,2020-07-04 08:30:24.067539,1.1142744020989124,80.91934244595649,168.4767674010371,28.176374435424805,63.8242301940918
Eclipse End,2020-07-04 09:08:20.707539,1.0910909515128804,80.59591677464019,168.77430881756206,6.29177713394165,66.42163848876953
Eclipse Begin : GJ 9827 b,2020-07-21 06:05:31.933779,1.2775782663563853,133.30025881247698,7.566699841407415,57.29358673095703,51.51129913330078
Eclipse Mid,2020-07-21 06:43:28.573779,1.1754259281513937,133.77928342288521,8.020257057869062,45.6381721496582,58.29393005371094
Eclipse End,2020-07-21 07:21:25.213779,1.1165439777821609,134.2482196646236,8.469591239115845,29.268264770507812,63.588279724121094
Eclipse Begin : GJ 9827 b,2020-07-27 07:10:12.114579,1.1049546409790798,140.7210642948177,86.2541137925007,22.730037689208984,64.82524108886719
Eclipse Mid,2020-07-27 07:48:08.754579,1.090061153437787,140.2563495343543,86.6943613845856,359.8750305175781,66.54597473144531
Eclipse End,2020-07-27 08:26:05.394579,1.1052732520394482,139.7776144963178,87.14838758096998,337.05126953125,64.79012298583984
Eclipse Begin : GJ 9827 b,2020-08-02 08:14:52.295379,1.1169788768827738,58.51441597511981,163.22552520125333,330.53216552734375,63.543399810791016
Eclipse Mid,2020-08-02 08:52:48.935379,1.176253760388536,58.19608762577695,163.5188784450128,314.2188415527344,58.22871398925781
Eclipse End,2020-08-02 09:30:45.575379,1.278938540376562,57.85622560806325,163.83361943554064,302.6042785644531,51.434722900390625
Eclipse Begin : GJ 9827 b,2020-08-13 05:23:16.620819,1.1558272068006696,76.66400445272612,72.11780991436369,41.75354766845703,59.903404235839844
Eclipse Mid,2020-08-13 06:01:13.260819,1.1067240970838785,76.99118618066663,71.81205239111573,23.904783248901367,64.63104248046875
Eclipse End,2020-08-13 06:39:09.900819,1.0901056109964236,77.29709285869396,71.5274684691166,1.2260231971740723,66.54058837890625
Eclipse Begin : GJ 9827 b,2020-08-19 06:27:56.801619,1.091192502182435,155.93617587150666,5.28933672736949,353.4600830078125,66.409423828125
Eclipse Mid,2020-08-19 07:05:53.441619,1.1147045767382302,156.38781941656976,5.584790772392827,331.6211853027344,63.7792854309082
Eclipse End,2020-08-19 07:43:50.081619,1.1718727644852767,156.82538523720783,5.897660575378028,315.0018615722656,58.576271057128906
Eclipse Begin : GJ 9827 b,2020-08-25 07:32:36.982419,1.1990880953365248,115.78977778830891,83.70088414091519,310.6943054199219,56.50843811035156
Eclipse Mid,2020-08-25 08:10:33.622419,1.316192087496727,115.3101555775296,84.1545656723474,300.06964111328125,49.44370651245117
Eclipse End,2020-08-25 08:48:30.262419,1.5039620298639569,114.81928649686837,84.61975682214725,292.20660400390625,41.675453186035156
Eclipse Begin : GJ 9827 b,2020-08-30 03:36:21.127059,1.2514659822389536,51.088815782293544,144.02492484034795,55.123626708984375,53.040706634521484
Eclipse Mid,2020-08-30 04:14:17.767059,1.159700536705752,50.86880184327919,144.21907040239597,42.59760665893555,59.57486343383789
Eclipse End,2020-08-30 04:52:14.407059,1.1085938891890812,50.63639589821806,144.4255113126286,25.06195640563965,64.4280014038086
Eclipse Begin : GJ 9827 b,2020-09-11 05:45:41.488659,1.1265500162876925,97.22049137596841,79.47754034107301,326.5957946777344,62.581390380859375
Eclipse Mid,2020-09-11 06:23:38.128659,1.1940375354622152,97.51894123273748,79.20173531984369,311.4068298339844,56.876495361328125
Eclipse End,2020-09-11 07:01:34.768659,1.307995881319687,97.79651221772023,78.94688494048368,300.5843200683594,49.865055084228516
Eclipse Begin : GJ 9827 c,2020-07-21 07:51:46.776318,1.0941056828506424,134.6142895530745,8.823497527714817,12.282486915588379,66.06248474121094
Eclipse Mid,2020-07-21 08:46:31.704318,1.1028388177371127,135.24963670719666,9.443089309752882,338.80194091796875,65.06012725830078
Eclipse End,2020-07-21 09:41:16.632318,1.178939864113863,135.84790958045062,10.031128737799737,313.75714111328125,58.018558502197266
