Name,obs_time,Primary eclipse observable?,Transit Length,Effective Temperature,J-magnitude,Number of exposures possible,S/N median,Minimum S/N,Maximum S/N,Minimum Exposure Time,Maximum Exposure Time
K2-290 b,2021-05-05 04:09:41.759997,TRUE,4.9600008 h,6302.0 K,9.771,77,90.75943558,0,156.3359257,230,230
HD 106315 c,2021-03-22 04:40:10.711996,TRUE,4.638 h,6327.0 K,8.116,72,90.75943558,0,156.3359257,230,230
WASP-185 b,2021-05-14 01:58:33.039986,TRUE,4.6080000000000005 h,5900.0 K,9.873,72,90.75943558,0,156.3359257,230,230
WASP-127 b,2021-02-21 05:53:09.118396,TRUE,4.308 h,5620.0 K,9.092,67,90.75943558,0,156.3359257,230,230
WASP-127 b,2021-03-14 03:15:11.902396,TRUE,4.308 h,5620.0 K,9.092,67,90.75943558,0,156.3359257,230,230
K2-3 d,2021-04-17 01:54:07.792014,TRUE,4.3249992 h,3896.0 K,9.421,67,90.75943558,0,156.3359257,230,230
WASP-131 b,2021-06-13 02:21:24.726380,TRUE,3.8304 h,6030.0 K,8.895,59,90.75943558,0,156.3359257,230,230
WASP-131 b,2021-05-28 03:10:16.364780,TRUE,3.8304 h,6030.0 K,8.895,59,90.75943558,0,156.3359257,230,230
WASP-131 b,2021-05-12 03:59:08.003180,TRUE,3.8304 h,6030.0 K,8.895,59,90.75943558,0,156.3359257,230,230
WASP-131 b,2021-04-10 05:36:51.279980,TRUE,3.8304 h,6030.0 K,8.895,59,90.75943558,0,156.3359257,230,230
HD 106315 b,2021-02-22 06:22:45.848014,TRUE,3.7750008 h,6327.0 K,8.116,59,90.75943558,0,156.3359257,230,230
HD 106315 b,2021-04-30 03:10:39.224014,TRUE,3.7750008 h,6327.0 K,8.116,59,90.75943558,0,156.3359257,230,230
K2-233 d,2021-05-11 05:18:23.039992,TRUE,3.8080008 h,4950.0 K,8.968,59,90.75943558,0,156.3359257,230,230
WASP-131 b,2021-03-25 06:25:42.918380,TRUE,3.8304 h,6030.0 K,8.895,59,90.75943558,0,156.3359257,230,230
