Name,obs_time,Primary eclipse observable?,Transit Length,Effective Temperature,J-magnitude,Number of exposures possible,S/N median,Minimum S/N,Maximum S/N,Minimum Exposure Time,Maximum Exposure Time,rank
WASP-121 b,2021-03-05 03:05:33.361618,True,2.8872 h,6459.0 K,9.625,45,90.75943557587073,0.0,156.33592570258094,230,230,28350.0
WASP-121 b,2021-03-28 01:51:37.499218,True,2.8872 h,6459.0 K,9.625,45,90.75943557587073,0.0,156.33592570258094,230,230,28350.0
WASP-121 b,2021-02-10 04:19:29.224018,True,2.8872 h,6459.0 K,9.625,45,90.75943557587073,0.0,156.33592570258094,230,230,28350.0
WASP-121 b,2021-01-27 03:44:40.028818,True,2.8872 h,6459.0 K,9.625,45,90.75943557587073,0.0,156.33592570258094,230,230,28350.0
WASP-121 b,2021-01-18 05:33:25.086418,True,2.8872 h,6459.0 K,9.625,45,90.75943557587073,0.0,156.33592570258094,230,230,28350.0
WASP-121 b,2021-01-13 03:09:50.833618,True,2.8872 h,6459.0 K,9.625,45,90.75943557587073,0.0,156.33592570258094,230,230,28350.0
WASP-121 b,2021-01-04 04:58:35.891218,True,2.8872 h,6459.0 K,9.625,45,90.75943557587073,0.0,156.33592570258094,230,230,28350.0
WASP-121 b,2020-12-30 02:35:01.638418,True,2.8872 h,6459.0 K,9.625,45,90.75943557587073,0.0,156.33592570258094,230,230,28350.0
WASP-121 b,2020-12-26 06:47:20.948818,True,2.8872 h,6459.0 K,9.625,45,90.75943557587073,0.0,156.33592570258094,230,230,28350.0
WASP-121 b,2020-12-21 04:23:46.696018,True,2.8872 h,6459.0 K,9.625,45,90.75943557587073,0.0,156.33592570258094,230,230,28350.0
WASP-121 b,2020-12-12 06:12:31.753618,True,2.8872 h,6459.0 K,9.625,45,90.75943557587073,0.0,156.33592570258094,230,230,28350.0
WASP-121 b,2020-11-28 05:37:42.558418,True,2.8872 h,6459.0 K,9.625,45,90.75943557587073,0.0,156.33592570258094,230,230,28350.0
WASP-121 b,2020-11-05 06:51:38.420818,True,2.8872 h,6459.0 K,9.625,45,90.75943557587073,0.0,156.33592570258094,230,230,28350.0
WASP-121 b,2021-02-19 02:30:44.166418,True,2.8872 h,6459.0 K,9.625,45,90.75943557587073,0.0,156.33592570258094,230,230,28350.0
WASP-167 b,2021-03-18 06:43:41.622409,True,2.724 h,7000.0 K,9.929,42,90.75943557587073,0.0,156.33592570258094,230,230,22932.0
WASP-167 b,2021-06-05 03:16:56.690569,True,2.724 h,7000.0 K,9.929,42,90.75943557587073,0.0,156.33592570258094,230,230,22932.0
WASP-167 b,2021-06-03 02:45:19.381129,True,2.724 h,7000.0 K,9.929,42,90.75943557587073,0.0,156.33592570258094,230,230,22932.0
WASP-167 b,2021-06-01 02:13:42.071689,True,2.724 h,7000.0 K,9.929,42,90.75943557587073,0.0,156.33592570258094,230,230,22932.0
WASP-167 b,2021-05-30 01:42:04.762249,True,2.724 h,7000.0 K,9.929,42,90.75943557587073,0.0,156.33592570258094,230,230,22932.0
WASP-167 b,2021-05-28 01:10:27.452809,True,2.724 h,7000.0 K,9.929,42,90.75943557587073,0.0,156.33592570258094,230,230,22932.0
WASP-167 b,2021-03-22 07:46:56.241289,True,2.724 h,7000.0 K,9.929,42,90.75943557587073,0.0,156.33592570258094,230,230,22932.0
WASP-167 b,2021-03-20 07:15:18.931849,True,2.724 h,7000.0 K,9.929,42,90.75943557587073,0.0,156.33592570258094,230,230,22932.0
WASP-167 b,2021-03-16 06:12:04.312969,True,2.724 h,7000.0 K,9.929,42,90.75943557587073,0.0,156.33592570258094,230,230,22932.0
WASP-167 b,2021-03-14 05:40:27.003529,True,2.724 h,7000.0 K,9.929,42,90.75943557587073,0.0,156.33592570258094,230,230,22932.0
WASP-167 b,2021-03-12 05:08:49.694089,True,2.724 h,7000.0 K,9.929,42,90.75943557587073,0.0,156.33592570258094,230,230,22932.0
WASP-167 b,2021-03-10 04:37:12.384649,True,2.724 h,7000.0 K,9.929,42,90.75943557587073,0.0,156.33592570258094,230,230,22932.0
WASP-167 b,2021-03-08 04:05:35.075209,True,2.724 h,7000.0 K,9.929,42,90.75943557587073,0.0,156.33592570258094,230,230,22932.0
WASP-131 b,2021-04-10 05:36:51.279980,True,3.8304 h,6030.0 K,8.895,59,90.75943557587073,0.0,156.33592570258094,230,230,20886.0
WASP-131 b,2021-06-13 02:21:24.726380,True,3.8304 h,6030.0 K,8.895,59,90.75943557587073,0.0,156.33592570258094,230,230,20886.0
WASP-131 b,2021-05-12 03:59:08.003180,True,3.8304 h,6030.0 K,8.895,59,90.75943557587073,0.0,156.33592570258094,230,230,20886.0
WASP-131 b,2021-05-28 03:10:16.364780,True,3.8304 h,6030.0 K,8.895,59,90.75943557587073,0.0,156.33592570258094,230,230,20886.0
WASP-131 b,2021-03-25 06:25:42.918380,True,3.8304 h,6030.0 K,8.895,59,90.75943557587073,0.0,156.33592570258094,230,230,20886.0
WASP-131 b,2021-03-09 07:14:34.556780,True,3.8304 h,6030.0 K,8.895,59,90.75943557587073,0.0,156.33592570258094,230,230,20886.0
KELT-14 b,2021-01-07 06:12:23.372800,True,2.1880800000000002 h,5720.0 K,9.808,34,90.75943557587073,0.0,156.33592570258094,230,230,19652.0
KELT-14 b,2020-10-22 07:20:43.312000,True,2.1880800000000002 h,5720.0 K,9.808,34,90.75943557587073,0.0,156.33592570258094,230,230,19652.0
KELT-14 b,2020-11-03 06:38:05.543680,True,2.1880800000000002 h,5720.0 K,9.808,34,90.75943557587073,0.0,156.33592570258094,230,230,19652.0
KELT-14 b,2020-11-15 05:55:27.775360,True,2.1880800000000002 h,5720.0 K,9.808,34,90.75943557587073,0.0,156.33592570258094,230,230,19652.0
KELT-14 b,2020-11-27 05:12:50.007040,True,2.1880800000000002 h,5720.0 K,9.808,34,90.75943557587073,0.0,156.33592570258094,230,230,19652.0
KELT-14 b,2020-12-09 04:30:12.238720,True,2.1880800000000002 h,5720.0 K,9.808,34,90.75943557587073,0.0,156.33592570258094,230,230,19652.0
KELT-14 b,2020-12-21 03:47:34.470400,True,2.1880800000000002 h,5720.0 K,9.808,34,90.75943557587073,0.0,156.33592570258094,230,230,19652.0
KELT-14 b,2020-12-26 06:55:01.141120,True,2.1880800000000002 h,5720.0 K,9.808,34,90.75943557587073,0.0,156.33592570258094,230,230,19652.0
KELT-14 b,2021-01-02 03:04:56.702080,True,2.1880800000000002 h,5720.0 K,9.808,34,90.75943557587073,0.0,156.33592570258094,230,230,19652.0
KELT-14 b,2021-01-14 02:22:18.933760,True,2.1880800000000002 h,5720.0 K,9.808,34,90.75943557587073,0.0,156.33592570258094,230,230,19652.0
KELT-14 b,2021-01-31 04:47:07.836160,True,2.1880800000000002 h,5720.0 K,9.808,34,90.75943557587073,0.0,156.33592570258094,230,230,19652.0
KELT-14 b,2021-01-19 05:29:45.604480,True,2.1880800000000002 h,5720.0 K,9.808,34,90.75943557587073,0.0,156.33592570258094,230,230,19652.0
KELT-14 b,2021-04-01 01:13:58.994560,True,2.1880800000000002 h,5720.0 K,9.808,34,90.75943557587073,0.0,156.33592570258094,230,230,19652.0
KELT-14 b,2021-03-20 01:56:36.762880,True,2.1880800000000002 h,5720.0 K,9.808,34,90.75943557587073,0.0,156.33592570258094,230,230,19652.0
KELT-14 b,2021-03-08 02:39:14.531200,True,2.1880800000000002 h,5720.0 K,9.808,34,90.75943557587073,0.0,156.33592570258094,230,230,19652.0
KELT-14 b,2021-02-24 03:21:52.299520,True,2.1880800000000002 h,5720.0 K,9.808,34,90.75943557587073,0.0,156.33592570258094,230,230,19652.0
