Name,obs_time,Transit Length,Effective Temperature,J-magnitude,Number of exposures possible,S/N median,Minimum S/N,Maximum S/N,Minimum Exposure Time,Maximum Exposure Time,rank
HD 106315 c,2021-03-22 04:31:50.409855,4.638 h,6327.0 K,8.116,72,90.75943557587073,0.0,156.33592570258094,230,230,5184.0
WASP-127 b,2021-04-29 02:10:56.271716,4.308 h,5620.0 K,9.092,67,90.75943557587073,0.0,156.33592570258094,230,230,13467.0
WASP-127 b,2021-03-14 03:07:08.348033,4.308 h,5620.0 K,9.092,67,90.75943557587073,0.0,156.33592570258094,230,230,13467.0
WASP-127 b,2021-02-21 05:45:09.746458,4.308 h,5620.0 K,9.092,67,90.75943557587073,0.0,156.33592570258094,230,230,13467.0
WASP-131 b,2021-03-25 06:19:09.132767,3.8304 h,6030.0 K,8.895,59,90.75943557587073,0.0,156.33592570258094,230,230,20886.0
WASP-131 b,2021-06-13 02:15:30.102481,3.8304 h,6030.0 K,8.895,59,90.75943557587073,0.0,156.33592570258094,230,230,20886.0
WASP-131 b,2021-05-28 03:03:07.906732,3.8304 h,6030.0 K,8.895,59,90.75943557587073,0.0,156.33592570258094,230,230,20886.0
HD 106315 b,2021-04-30 03:03:50.957928,3.7750008 h,6327.0 K,8.116,59,90.75943557587073,0.0,156.33592570258094,230,230,6962.0
K2-233 d,2021-05-11 05:09:59.698956,3.8080008 h,4950.0 K,8.968,59,90.75943557587073,0.0,156.33592570258094,230,230,3481.0
WASP-131 b,2021-05-12 03:51:16.463026,3.8304 h,6030.0 K,8.895,59,90.75943557587073,0.0,156.33592570258094,230,230,20886.0
HD 106315 b,2021-02-22 06:15:34.198651,3.7750008 h,6327.0 K,8.116,59,90.75943557587073,0.0,156.33592570258094,230,230,6962.0
WASP-131 b,2021-04-10 05:29:17.311826,3.8304 h,6030.0 K,8.895,59,90.75943557587073,0.0,156.33592570258094,230,230,20886.0
WASP-131 b,2021-03-09 07:09:30.609185,3.8304 h,6030.0 K,8.895,59,90.75943557587073,0.0,156.33592570258094,230,230,20886.0
WASP-130 b,2021-04-19 05:48:22.655013,3.7199999999999998 h,5625.0 K,9.896,58,90.75943557587073,0.0,156.33592570258094,230,230,3364.0
KELT-10 b,2021-06-09 07:57:00.228048,3.7439999999999998 h,5948.0 K,9.693,58,90.75943557587073,0.0,156.33592570258094,230,230,10092.0
KELT-10 b,2020-08-09 04:39:11.900549,3.7439999999999998 h,5948.0 K,9.693,58,90.75943557587073,0.0,156.33592570258094,230,230,10092.0
KELT-10 b,2020-07-15 04:41:16.523764,3.7439999999999998 h,5948.0 K,9.693,58,90.75943557587073,0.0,156.33592570258094,230,230,10092.0
WASP-76 b,2020-11-22 02:34:17.956863,3.6936 h,6250.0 K,8.541,57,90.75943557587073,0.0,156.33592570258094,230,230,6498.0
WASP-76 b,2020-10-24 03:33:05.195112,3.6936 h,6250.0 K,8.541,57,90.75943557587073,0.0,156.33592570258094,230,230,6498.0
WASP-166 b,2021-03-02 02:41:08.505619,3.5999999999999996 h,6050.0 K,8.35,56,90.75943557587073,0.0,156.33592570258094,230,230,12544.0
WASP-166 b,2021-02-19 05:23:44.969733,3.5999999999999996 h,6050.0 K,8.35,56,90.75943557587073,0.0,156.33592570258094,230,230,12544.0
WASP-166 b,2021-04-20 02:32:14.377920,3.5999999999999996 h,6050.0 K,8.35,56,90.75943557587073,0.0,156.33592570258094,230,230,12544.0
WASP-166 b,2021-01-01 05:38:22.580643,3.5999999999999996 h,6050.0 K,8.35,56,90.75943557587073,0.0,156.33592570258094,230,230,12544.0
K2-3 c,2021-05-16 01:30:41.553376,3.633 h,3896.0 K,9.421,56,90.75943557587073,0.0,156.33592570258094,230,230,3136.0
WASP-178 b,2021-02-26 07:00:44.333285,3.4704 h,9360.0 K,9.775,54,90.75943557587073,0.0,156.33592570258094,230,230,14580.0
