Name,obs time,obs time error,Transit Length,Effective Temperature,J-magnitude,Number of exposures possible,S/N median,Minimum S/N,Maximum S/N,Minimum Exposure Time,Maximum Exposure Time,rank
KELT-10 b,2020-07-15 04:41:16.523764,1.26e-05 d,3.7439999999999998 h,5948.0 K,9.693,58,90.75943557587073,0.0,156.33592570258094,230,230,6728.0
KELT-10 b,2020-08-09 04:39:11.900549,5.04e-05 d,3.7439999999999998 h,5948.0 K,9.693,58,90.75943557587073,0.0,156.33592570258094,230,230,6728.0
WASP-76 b,2020-11-22 02:34:17.956864,7.5e-05 d,3.6936 h,6250.0 K,8.541,57,90.75943557587073,0.0,156.33592570258094,230,230,6498.0
WASP-76 b,2020-10-24 03:33:05.195112,5.9e-05 d,3.6936 h,6250.0 K,8.541,57,90.75943557587073,0.0,156.33592570258094,230,230,6498.0
WASP-166 b,2021-01-01 05:38:22.580643,0.00013199999999999998 d,3.5999999999999996 h,6050.0 K,8.35,56,90.75943557587073,0.0,156.33592570258094,230,230,3136.0
WASP-20 b,2020-08-15 07:06:28.506539,2.64e-05 d,3.4032 h,5940.0 K,9.701,53,90.75943557587073,0.0,156.33592570258094,230,230,8427.0
WASP-20 b,2020-10-13 02:11:43.952515,6.6e-05 d,3.4032 h,5940.0 K,9.701,53,90.75943557587073,0.0,156.33592570258094,230,230,8427.0
WASP-20 b,2020-10-08 04:36:00.485338,6.27e-05 d,3.4032 h,5940.0 K,9.701,53,90.75943557587073,0.0,156.33592570258094,230,230,8427.0
HR 858 d,2020-10-17 04:17:21.895631,0.0099 d,3.4344 h,6201.0 K,5.473,53,90.75943557587073,0.0,156.33592570258094,230,230,2809.0
WASP-70 A b,2020-07-14 07:10:46.278973,9.4e-06 d,3.3335999999999997 h,5763.0 K,9.996,52,90.75943557587073,0.0,156.33592570258094,230,230,10816.0
WASP-70 A b,2020-09-19 03:13:55.461256,9.4e-05 d,3.3335999999999997 h,5763.0 K,9.996,52,90.75943557587073,0.0,156.33592570258094,230,230,10816.0
WASP-70 A b,2020-08-24 03:24:49.233341,6.11e-05 d,3.3335999999999997 h,5763.0 K,9.996,52,90.75943557587073,0.0,156.33592570258094,230,230,10816.0
WASP-70 A b,2020-07-29 03:37:14.618693,2.82e-05 d,3.3335999999999997 h,5763.0 K,9.996,52,90.75943557587073,0.0,156.33592570258094,230,230,10816.0
GJ 143 b,2020-10-11 06:52:51.694934,0.0018 d,3.2299992 h,4640.0 K,6.081,50,90.75943557587073,0.0,156.33592570258094,230,230,2500.0
DS Tuc A b,2020-08-03 06:01:25.094814,3.3e-05 d,3.1764 h,5428.0 K,7.122,49,90.75943557587073,0.0,156.33592570258094,230,230,4802.0
DS Tuc A b,2020-09-29 05:17:06.256620,0.00010999999999999999 d,3.1764 h,5428.0 K,7.122,49,90.75943557587073,0.0,156.33592570258094,230,230,4802.0
TOI-125 c,2020-12-11 02:42:47.884816,0.011899999999999999 d,2.9544 h,5320.0 K,9.466,46,90.75943557587073,0.0,156.33592570258094,230,230,6348.0
TOI-125 c,2020-10-17 04:58:28.834131,0.0077 d,2.9544 h,5320.0 K,9.466,46,90.75943557587073,0.0,156.33592570258094,230,230,6348.0
TOI-125 c,2020-08-23 07:15:49.303848,0.0035 d,2.9544 h,5320.0 K,9.466,46,90.75943557587073,0.0,156.33592570258094,230,230,6348.0
WASP-121 b,2020-12-26 06:43:40.248812,2.66e-05 d,2.8872 h,6459.0 K,9.625,45,90.75943557587073,0.0,156.33592570258094,230,230,12150.0
WASP-121 b,2020-11-28 05:35:14.522071,2.2199999999999998e-05 d,2.8872 h,6459.0 K,9.625,45,90.75943557587073,0.0,156.33592570258094,230,230,12150.0
WASP-121 b,2020-11-05 06:50:36.763553,1.8599999999999998e-05 d,2.8872 h,6459.0 K,9.625,45,90.75943557587073,0.0,156.33592570258094,230,230,12150.0
WASP-121 b,2020-12-21 04:20:15.669412,2.58e-05 d,2.8872 h,6459.0 K,9.625,45,90.75943557587073,0.0,156.33592570258094,230,230,12150.0
WASP-121 b,2021-01-04 04:54:42.543817,2.8e-05 d,2.8872 h,6459.0 K,9.625,45,90.75943557587073,0.0,156.33592570258094,230,230,12150.0
WASP-121 b,2020-12-12 06:09:21.673764,2.44e-05 d,2.8872 h,6459.0 K,9.625,45,90.75943557587073,0.0,156.33592570258094,230,230,12150.0
HR 858 b,2020-11-05 03:47:03.152145,0.0049499999999999995 d,2.7096 h,6201.0 K,5.473,42,90.75943557587073,0.0,156.33592570258094,230,230,8820.0
HR 858 b,2021-01-05 02:56:25.393296,0.0075 d,2.7096 h,6201.0 K,5.473,42,90.75943557587073,0.0,156.33592570258094,230,230,8820.0
HR 858 b,2020-11-23 02:06:56.945883,0.005699999999999999 d,2.7096 h,6201.0 K,5.473,42,90.75943557587073,0.0,156.33592570258094,230,230,8820.0
HR 858 b,2020-10-18 05:27:42.255172,0.0042 d,2.7096 h,6201.0 K,5.473,42,90.75943557587073,0.0,156.33592570258094,230,230,8820.0
HR 858 b,2020-09-30 07:08:55.097688,0.0034499999999999995 d,2.7096 h,6201.0 K,5.473,42,90.75943557587073,0.0,156.33592570258094,230,230,8820.0
K2-233 c,2020-07-25 01:30:52.685268,0.00252 d,2.6500008 h,4950.0 K,8.968,41,90.75943557587073,0.0,156.33592570258094,230,230,1681.0
HD 21749 c,2020-11-20 02:10:47.824954,0.00918 d,2.5150008 h,4640.0 K,6.081,39,90.75943557587073,0.0,156.33592570258094,230,230,1521.0
HD 15337 b,2020-08-06 07:24:28.514654,0.00102 d,2.4899999999999998 h,5125.0 K,7.553,38,90.75943557587073,0.0,156.33592570258094,230,230,7220.0
HD 15337 b,2020-08-25 07:58:07.479288,0.0017000000000000001 d,2.4899999999999998 h,5125.0 K,7.553,38,90.75943557587073,0.0,156.33592570258094,230,230,7220.0
HD 15337 b,2020-10-26 03:51:03.959611,0.00391 d,2.4899999999999998 h,5125.0 K,7.553,38,90.75943557587073,0.0,156.33592570258094,230,230,7220.0
HD 15337 b,2020-11-14 04:27:12.878592,0.00459 d,2.4899999999999998 h,5125.0 K,7.553,38,90.75943557587073,0.0,156.33592570258094,230,230,7220.0
HD 15337 b,2020-12-03 05:03:58.351311,0.00527 d,2.4899999999999998 h,5125.0 K,7.553,38,90.75943557587073,0.0,156.33592570258094,230,230,7220.0
WASP-156 b,2020-11-20 04:36:29.872777,0.000105 d,2.4100007999999997 h,4910.0 K,9.906,37,90.75943557587073,0.0,156.33592570258094,230,230,1369.0
K2-265 b,2020-10-15 02:03:09.309457,0.003649 d,2.2660008 h,5477.0 K,9.726,35,90.75943557587073,0.0,156.33592570258094,230,230,4900.0
K2-265 b,2020-09-07 04:15:05.473294,0.002225 d,2.2660008 h,5477.0 K,9.726,35,90.75943557587073,0.0,156.33592570258094,230,230,4900.0
K2-265 b,2020-07-31 06:30:20.844739,0.000801 d,2.2660008 h,5477.0 K,9.726,35,90.75943557587073,0.0,156.33592570258094,230,230,4900.0
K2-265 b,2020-08-19 05:22:18.122614,0.001513 d,2.2660008 h,5477.0 K,9.726,35,90.75943557587073,0.0,156.33592570258094,230,230,4900.0
KELT-14 b,2021-01-02 03:01:31.706777,0.0003296 d,2.1880800000000002 h,5720.0 K,9.808,34,90.75943557587073,0.0,156.33592570258094,230,230,9248.0
KELT-14 b,2020-12-26 06:51:46.623713,0.0003168 d,2.1880800000000002 h,5720.0 K,9.808,34,90.75943557587073,0.0,156.33592570258094,230,230,9248.0
KELT-14 b,2020-12-21 03:44:29.657021,0.0003072 d,2.1880800000000002 h,5720.0 K,9.808,34,90.75943557587073,0.0,156.33592570258094,230,230,9248.0
KELT-14 b,2020-12-09 04:27:35.738860,0.0002848 d,2.1880800000000002 h,5720.0 K,9.808,34,90.75943557587073,0.0,156.33592570258094,230,230,9248.0
KELT-14 b,2020-11-27 05:10:48.652091,0.0002624 d,2.1880800000000002 h,5720.0 K,9.808,34,90.75943557587073,0.0,156.33592570258094,230,230,9248.0
KELT-14 b,2020-11-15 05:54:06.818471,0.00023999999999999998 d,2.1880800000000002 h,5720.0 K,9.808,34,90.75943557587073,0.0,156.33592570258094,230,230,9248.0
KELT-14 b,2020-11-03 06:37:28.451106,0.00021759999999999998 d,2.1880800000000002 h,5720.0 K,9.808,34,90.75943557587073,0.0,156.33592570258094,230,230,9248.0
KELT-14 b,2020-10-22 07:20:51.593092,0.0001952 d,2.1880800000000002 h,5720.0 K,9.808,34,90.75943557587073,0.0,156.33592570258094,230,230,9248.0
WASP-80 b,2020-08-12 02:51:34.464903,9.13e-06 d,2.1310008 h,4143.0 K,9.218,33,90.75943557587073,0.0,156.33592570258094,230,230,2178.0
HD 219666 b,2020-09-09 07:30:42.354345,0.00704 d,2.1580008 h,5527.0 K,8.557,33,90.75943557587073,0.0,156.33592570258094,230,230,5445.0
WASP-80 b,2020-08-15 04:29:24.038050,9.96e-06 d,2.1310008 h,4143.0 K,9.218,33,90.75943557587073,0.0,156.33592570258094,230,230,2178.0
HD 219666 b,2020-09-03 06:38:32.165815,0.0064 d,2.1580008 h,5527.0 K,8.557,33,90.75943557587073,0.0,156.33592570258094,230,230,5445.0
HD 219666 b,2020-08-28 05:46:25.375479,0.00576 d,2.1580008 h,5527.0 K,8.557,33,90.75943557587073,0.0,156.33592570258094,230,230,5445.0
HD 219666 b,2020-08-22 04:54:22.080557,0.00512 d,2.1580008 h,5527.0 K,8.557,33,90.75943557587073,0.0,156.33592570258094,230,230,5445.0
HD 219666 b,2020-08-16 04:02:22.364148,0.0044800000000000005 d,2.1580008 h,5527.0 K,8.557,33,90.75943557587073,0.0,156.33592570258094,230,230,5445.0
TOI-270 d,2020-12-14 03:58:56.521680,0.0015400000000000001 d,2.1479999999999997 h,3386.0 K,9.099,33,90.75943557587073,0.0,156.33592570258094,230,230,2178.0
TOI-270 d,2020-10-18 06:21:27.427185,0.00099 d,2.1479999999999997 h,3386.0 K,9.099,33,90.75943557587073,0.0,156.33592570258094,230,230,2178.0
GJ 9827 c,2020-11-15 02:26:50.860004,0.0022787999999999997 d,1.82496 h,4340.0 K,7.984,28,90.75943557587073,0.0,156.33592570258094,230,230,3920.0
GJ 9827 c,2020-07-21 08:41:31.036467,0.0002532 d,1.82496 h,4340.0 K,7.984,28,90.75943557587073,0.0,156.33592570258094,230,230,3920.0
GJ 9827 c,2020-08-01 07:20:09.353066,0.0004431 d,1.82496 h,4340.0 K,7.984,28,90.75943557587073,0.0,156.33592570258094,230,230,3920.0
GJ 9827 c,2020-08-12 05:59:00.233156,0.0006329999999999999 d,1.82496 h,4340.0 K,7.984,28,90.75943557587073,0.0,156.33592570258094,230,230,3920.0
GJ 9827 c,2020-08-23 04:38:05.617640,0.0008228999999999999 d,1.82496 h,4340.0 K,7.984,28,90.75943557587073,0.0,156.33592570258094,230,230,3920.0
TOI-270 c,2020-11-17 02:30:35.171122,0.0008049999999999999 d,1.6579992 h,3386.0 K,9.099,25,90.75943557587073,0.0,156.33592570258094,230,230,1250.0
TOI-270 c,2020-12-04 02:02:48.128699,0.0009099999999999999 d,1.6579992 h,3386.0 K,9.099,25,90.75943557587073,0.0,156.33592570258094,230,230,1250.0
WASP-140 b,2020-11-08 05:54:21.143151,4.4e-05 d,1.5144000000000002 h,5260.0 K,9.609,23,90.75943557587073,0.0,156.33592570258094,230,230,4232.0
