Name,obs time,obs time error,Transit Length,Effective Temperature,J-magnitude,Number of exposures possible,S/N median,Minimum S/N,Maximum S/N,Minimum Exposure Time,Maximum Exposure Time,rank
WASP-70 A b,2020-09-19 03:13:55.461230,2.35e-05 d,3.3335999999999997 h,5763.0 K,9.996,52,90.75943557587073,0.0,156.33592570258094,230,230,2704.0
K2-265 b,2020-09-07 04:15:05.473294,0.000267 d,2.2660008 h,5477.0 K,9.726,35,90.75943557587073,0.0,156.33592570258094,230,230,1225.0
HD 219666 b,2020-09-09 07:30:42.354345,0.00128 d,2.1580008 h,5527.0 K,8.557,33,90.75943557587073,0.0,156.33592570258094,230,230,2178.0
HD 219666 b,2020-09-03 06:38:32.165815,0.00064 d,2.1580008 h,5527.0 K,8.557,33,90.75943557587073,0.0,156.33592570258094,230,230,2178.0
WASP-140 b,2020-09-22 07:00:38.892477,8e-06 d,1.5144000000000002 h,5260.0 K,9.609,23,90.75943557587073,0.0,156.33592570258094,230,230,1058.0
WASP-140 b,2020-09-13 08:22:11.766242,4.8e-06 d,1.5144000000000002 h,5260.0 K,9.609,23,90.75943557587073,0.0,156.33592570258094,230,230,1058.0
LTT 1445 A b,2020-09-22 05:02:42.127385,0.0012 d,1.3776 h,3337.0 K,7.294,21,90.75943557587073,0.0,156.33592570258094,230,230,441.0
TOI-270 b,2020-09-10 06:56:00.417101,0.00019499999999999997 d,1.3870008 h,3386.0 K,9.099,21,90.75943557587073,0.0,156.33592570258094,230,230,441.0
,time,airmass,moon sep,moon phase,az,alt
Eclipse Begin : WASP-140 b,2020-09-13 07:36:45.846242,1.0832193038751672,72.06615876210071,54.71958453741958,84.04138946533203,67.39461517333984
Eclipse Mid,2020-09-13 08:22:11.766242,1.024084742208165,72.39725022279598,54.38250848651359,72.6372299194336,77.54924774169922
Eclipse End,2020-09-13 09:07:37.686242,1.0029575186335677,72.70056292277488,54.07407951334361,15.993213653564453,85.59884643554688
Eclipse Begin : WASP-140 b,2020-09-22 06:15:12.972477,1.193834951619406,140.20189938909414,66.01492287774043,89.92755126953125,56.89139938354492
Eclipse Mid,2020-09-22 07:00:38.892477,1.0845352032308515,140.06540178870725,66.56556572150014,84.1592788696289,67.22823333740234
Eclipse End,2020-09-22 07:46:04.812477,1.024719644714199,139.9107016157728,67.13227378603042,72.93678283691406,77.38947296142578
Eclipse Begin : WASP-70 A b,2020-09-19 01:33:54.981230,1.0222388042710928,115.47611466131106,22.259260976280345,20.420928955078125,78.02687072753906
Eclipse Mid,2020-09-19 03:13:55.461230,1.083389592946776,114.23449555857698,23.42264907266225,296.0744323730469,67.37299346923828
Eclipse End,2020-09-19 04:53:55.941230,1.4044501276777892,112.88930972840339,24.692286160256877,275.9163513183594,45.39970397949219
Eclipse Begin : K2-265 b,2020-09-07 03:07:06.671854,1.069868276763406,61.5430868498494,124.93679834703994,64.11441802978516,69.17884826660156
Eclipse Mid,2020-09-07 04:15:05.473294,1.016886441748628,62.03488842631862,124.50404602872555,12.017613410949707,79.54381561279297
Eclipse End,2020-09-07 05:23:04.274734,1.0473090710445963,62.46999166666223,124.12981711475982,303.5920715332031,72.71294403076172
Eclipse Begin : TOI-270 b,2020-09-10 06:14:23.815661,1.5510109525832014,74.70605417991392,90.70633594869223,138.2432403564453,40.146244049072266
Eclipse Mid,2020-09-10 06:56:00.417101,1.3825731053496209,74.84344867926576,90.45486640862822,140.68008422851562,46.32670211791992
Eclipse End,2020-09-10 07:37:37.018541,1.2677951495821607,74.97338059650427,90.22493507866929,145.11062622070312,52.070804595947266
Eclipse Begin : LTT 1445 A b,2020-09-22 04:21:22.447385,1.4554751252029055,140.65971066146264,64.735778175601,89.81629180908203,43.39789962768555
Eclipse Mid,2020-09-22 05:02:42.127385,1.2553776096708196,140.39528987110617,65.18105141973625,85.01500701904297,52.8040885925293
Eclipse End,2020-09-22 05:44:01.807385,1.1312565084479511,140.11312105851394,65.64876647122637,78.57695007324219,62.1253776550293
Eclipse Begin : HD 219666 b,2020-09-03 05:33:47.764375,1.185105606420001,49.67806542760157,167.61773698242408,186.12408447265625,57.54430389404297
Eclipse Mid,2020-09-03 06:38:32.165815,1.2352846914024003,49.917664115443884,167.37888179314626,200.66720581054688,54.05003356933594
Eclipse End,2020-09-03 07:43:16.567255,1.3540553201062233,50.16682639058015,167.11826472116283,210.3467254638672,47.60568618774414
Eclipse Begin : HD 219666 b,2020-09-09 06:25:57.952905,1.2501355798394733,97.97560077399282,101.84146733107941,202.67994689941406,53.12181854248047
Eclipse Mid,2020-09-09 07:30:42.354345,1.3828528316947393,98.32478803665458,101.50846414718059,211.5022430419922,46.3145637512207
Eclipse End,2020-09-09 08:35:26.755785,1.6219909480165315,98.6400151112974,101.21249386057778,215.8994903564453,38.062904357910156
