Name,obs time,obs time error,Transit Length,Effective Temperature,J-magnitude,Number of exposures possible,S/N median,Minimum S/N,Maximum S/N,Average Exposure Time [s],rank,Number of transits
AU Mic b,2021-07-01 06:01:57.485118,0.00104,3.5 h,3700,5.436,360,152.18,0,240.95,35,518400,4
AU Mic b,2021-08-04 02:29:16.929599,0.0012,3.5 h,3700,5.436,360,151.25,0,240.78,35,518400,4
AU Mic b,2021-07-18 04:15:17.658129,0.00112,3.5 h,3700,5.436,360,151.79,0,240.89,35,518400,4
AU Mic b,2021-06-14 07:49:12.929075,0.00096,3.5 h,3700,5.436,360,152.35,0,240.97,35,518400,4
HD 21749 c,2021-10-13 06:25:06.339022,0.02091,2.515 h,4640,6.081,118,151.37,0,240.15,77,41772,3
HD 21749 c,2021-11-21 05:13:43.726477,0.02346,2.515 h,4640,6.081,118,151.18,0,240.10,77,41772,3
HD 21749 c,2021-09-04 07:37:22.611478,0.01836,2.515 h,4640,6.081,118,150.88,0,240.05,77,41772,3
GJ 357 b,2021-03-03 02:57:24.631107,0.00192,1.53 h,3505,7.337,27,151.68,0,240.01,200,4889.2857142857,7
GJ 357 b,2020-12-26 07:16:47.166167,0.00056,1.53 h,3505,7.337,27,151.66,0,240.00,200,4889.2857142857,7
GJ 357 b,2021-05-05 00:25:34.146481,0.0032,1.53 h,3505,7.337,27,151.51,0,239.98,200,4889.2857142857,7
HD 15337 b,2021-08-31 07:29:05.169203,0.00986,2.49 h,5125,7.553,26,151.97,0,236.77,340,3328.2,5
HD 15337 b,2021-09-19 08:03:18.886275,0.01054,2.49 h,5125,7.553,26,152.05,0,236.79,340,3328.2,5
GJ 357 b,2020-12-30 05:36:37.209057,0.00064,1.53 h,3505,7.337,26,154.34,0,245.76,210,4889.2857142857,7
GJ 357 b,2021-02-23 06:16:53.299821,0.00176,1.53 h,3505,7.337,26,154.19,0,245.73,210,4889.2857142857,7
HD 15337 b,2021-11-01 03:22:38.085404,0.01207,2.49 h,5125,7.553,26,151.96,0,236.77,340,3328.2,5
GJ 357 b,2021-03-07 01:17:43.166550,0.002,1.53 h,3505,7.337,26,154.44,0,245.77,210,4889.2857142857,7
GJ 357 b,2021-05-01 02:04:54.355992,0.00312,1.53 h,3505,7.337,26,153.90,0,245.69,210,4889.2857142857,7
HD 15337 b,2021-11-20 03:58:58.685278,0.01275,2.49 h,5125,7.553,26,152.05,0,236.79,340,3328.2,5
HD 213885 b,2021-09-16 04:26:20.412997,0.006069,1.534232 h,5978,6.806,25,154.49,0,240.36,220,18125,29
HD 213885 b,2021-09-01 01:31:57.179958,0.005754,1.534232 h,5978,6.806,25,153.02,0,239.95,220,18125,29
HD 15337 b,2020-12-03 05:04:36.410869,0.00017,2.49 h,5125,7.553,25,152.75,0,239.86,350,3328.2,5
HD 213885 b,2021-09-25 06:11:06.958352,0.006258,1.534232 h,5978,6.806,25,152.95,0,239.93,220,18125,29
HD 213885 b,2021-09-24 05:59:28.169181,0.006237,1.534232 h,5978,6.806,25,153.19,0,240.01,220,18125,29
HD 213885 b,2021-09-23 05:47:49.448387,0.006216,1.534232 h,5978,6.806,25,153.43,0,240.08,220,18125,29
HD 213885 b,2021-09-22 05:36:10.797131,0.006195,1.534232 h,5978,6.806,25,153.61,0,240.14,220,18125,29
HD 213885 b,2021-09-21 05:24:32.216551,0.006174,1.534232 h,5978,6.806,25,153.87,0,240.19,220,18125,29
HD 213885 b,2021-09-20 05:12:53.707772,0.006153,1.534232 h,5978,6.806,25,154.06,0,240.24,220,18125,29
HD 213885 b,2021-09-19 05:01:15.271908,0.006132,1.534232 h,5978,6.806,25,154.20,0,240.28,220,18125,29
HD 213885 b,2021-06-02 08:13:00.296289,0.003864,1.534232 h,5978,6.806,25,153.62,0,240.14,220,18125,29
HD 213885 b,2021-09-15 04:14:42.280028,0.006048,1.534232 h,5978,6.806,25,154.56,0,240.37,220,18125,29
HD 213885 b,2021-06-04 08:35:58.470588,0.003906,1.534232 h,5978,6.806,25,154.06,0,240.24,220,18125,29
HD 213885 b,2021-06-05 08:47:27.634482,0.003927,1.534232 h,5978,6.806,25,154.20,0,240.28,220,18125,29
HD 213885 b,2021-06-06 08:58:56.851598,0.003948,1.534232 h,5978,6.806,25,154.29,0,240.31,220,18125,29
HD 213885 b,2021-06-07 09:10:26.123469,0.003969,1.534232 h,5978,6.806,25,154.40,0,240.34,220,18125,29
HD 213885 b,2021-06-03 08:24:29.358374,0.003885,1.534232 h,5978,6.806,25,153.87,0,240.20,220,18125,29
HD 213885 b,2021-09-02 01:43:34.114240,0.005775,1.534232 h,5978,6.806,25,153.23,0,240.03,220,18125,29
HD 213885 b,2021-09-03 01:55:11.140003,0.005796,1.534232 h,5978,6.806,25,153.49,0,240.10,220,18125,29
HD 213885 b,2021-09-14 04:03:04.225649,0.006027,1.534232 h,5978,6.806,25,154.58,0,240.38,220,18125,29
HD 213885 b,2021-09-13 03:51:26.251032,0.006006,1.534232 h,5978,6.806,25,154.61,0,240.38,220,18125,29
HD 213885 b,2021-09-12 03:39:48.357354,0.005985,1.534232 h,5978,6.806,25,154.59,0,240.38,220,18125,29
HD 213885 b,2021-09-11 03:28:10.545791,0.005964,1.534232 h,5978,6.806,25,154.57,0,240.37,220,18125,29
HD 213885 b,2021-09-10 03:16:32.817503,0.005943,1.534232 h,5978,6.806,25,154.50,0,240.36,220,18125,29
HD 213885 b,2021-09-09 03:04:55.173623,0.005922,1.534232 h,5978,6.806,25,154.41,0,240.34,220,18125,29
HD 213885 b,2021-09-05 02:18:25.463183,0.005838,1.534232 h,5978,6.806,25,153.91,0,240.21,220,18125,29
HD 213885 b,2021-09-08 02:53:17.615244,0.005901,1.534232 h,5978,6.806,25,154.31,0,240.32,220,18125,29
HD 213885 b,2021-09-04 02:06:48.256562,0.005817,1.534232 h,5978,6.806,25,153.71,0,240.15,220,18125,29
HD 213885 b,2021-09-06 02:30:02.759079,0.005859,1.534232 h,5978,6.806,25,154.09,0,240.25,220,18125,29
HD 213885 b,2021-09-07 02:41:40.143404,0.00588,1.534232 h,5978,6.806,25,154.22,0,240.29,220,18125,29
LTT 1445 A b,2021-10-02 07:50:43.829940,0.0174,1.3776 h,3337,7.294,24,154.52,0,244.78,200,4032,7
LTT 1445 A b,2021-10-29 02:53:27.029676,0.0189,1.3776 h,3337,7.294,24,153.13,0,244.55,200,4032,7
LTT 1445 A b,2021-11-14 04:43:47.784119,0.0198,1.3776 h,3337,7.294,24,154.65,0,244.80,200,4032,7
LTT 1445 A b,2020-12-06 05:36:07.457398,0.0006,1.3776 h,3337,7.294,24,152.18,0,244.37,200,4032,7
LTT 1445 A b,2021-01-18 02:34:08.408167,0.003,1.3776 h,3337,7.294,24,152.57,0,244.45,200,4032,7
LTT 1445 A b,2021-08-04 09:12:38.853362,0.0141,1.3776 h,3337,7.294,24,153.99,0,244.69,200,4032,7
LTT 1445 A b,2021-09-16 06:01:44.558870,0.0165,1.3776 h,3337,7.294,24,153.57,0,244.62,200,4032,7
HD 15337 c,2021-10-09 06:50:08.000096,0.0304,2.25 h,5125,7.553,23,152.01,0,236.79,340,529,1
HD 23472 b,2020-12-25 04:13:38.998457,0.284,2.695974 h,4813,7.865,21,150.70,0,237.96,460,882,2
HD 23472 b,2021-11-08 04:20:39.091350,2.84,2.695974 h,4813,7.865,21,151.42,0,238.11,460,882,2
