,Name,obs_time,Primary eclipse observable?
0,K2-138 f,2020-04-11 04:09:01.880,False
1,K2-138 f,2020-04-23 22:19:57.656,False
2,K2-138 f,2020-05-06 16:30:53.432,False
3,K2-138 f,2020-05-19 10:41:49.208,False
4,K2-138 f,2020-06-01 04:52:44.984,False
5,K2-138 f,2020-06-13 23:03:40.760,False
6,K2-3 b,2020-04-05 11:15:35.152,False
7,K2-3 b,2020-04-15 12:34:03.088,False
8,K2-3 b,2020-04-25 13:52:31.024,False
9,K2-3 b,2020-05-05 15:10:58.960,False
10,K2-3 b,2020-05-15 16:29:26.896,False
11,K2-3 b,2020-05-25 17:47:54.832,False
12,K2-3 b,2020-06-04 19:06:22.768,False
13,K2-3 b,2020-06-14 20:24:50.704,False
14,GJ 9827 b,2020-04-01 01:17:33.247,False
15,GJ 9827 b,2020-04-02 06:18:29.283,False
16,GJ 9827 b,2020-04-03 11:19:25.319,False
17,GJ 9827 b,2020-04-04 16:20:21.356,False
18,GJ 9827 b,2020-04-05 21:21:17.392,False
19,GJ 9827 b,2020-04-07 02:22:13.428,False
20,GJ 9827 b,2020-04-08 07:23:09.464,False
21,GJ 9827 b,2020-04-09 12:24:05.500,False
22,GJ 9827 b,2020-04-10 17:25:01.536,False
23,GJ 9827 b,2020-04-11 22:25:57.572,False
24,GJ 9827 b,2020-04-13 03:26:53.609,False
25,GJ 9827 b,2020-04-14 08:27:49.645,False
26,GJ 9827 b,2020-04-15 13:28:45.681,False
27,GJ 9827 b,2020-04-16 18:29:41.717,False
28,GJ 9827 b,2020-04-17 23:30:37.753,False
29,GJ 9827 b,2020-04-19 04:31:33.789,False
30,GJ 9827 b,2020-04-20 09:32:29.826,False
31,GJ 9827 b,2020-04-21 14:33:25.862,False
32,GJ 9827 b,2020-04-22 19:34:21.898,False
33,GJ 9827 b,2020-04-24 00:35:17.934,False
34,GJ 9827 b,2020-04-25 05:36:13.970,False
35,GJ 9827 b,2020-04-26 10:37:10.006,False
36,GJ 9827 b,2020-04-27 15:38:06.043,False
37,GJ 9827 b,2020-04-28 20:39:02.079,False
