,Date,Time,Az,Alt
0,2020-03-31,23:57:07.027,266d43m52.1659s,-18d11m31.883s
1,2020-03-31,23:58:33.514,266d34m29.9463s,-18d31m09.9703s
2,2020-03-31,00:00:00.000,266d25m06.205s,-18d50m47.8653s
3,2020-03-31,00:01:26.486,266d15m40.8967s,-19d10m25.5589s
4,2020-03-31,00:02:52.973,266d06m13.9754s,-19d30m03.0417s
5,2020-03-31,00:04:19.459,265d56m45.3947s,-19d49m40.304s
6,2020-03-31,00:05:45.946,265d47m15.1076s,-20d09m17.3364s
7,2020-03-31,00:07:12.432,265d37m43.0667s,-20d28m54.1292s
8,2020-03-31,00:08:38.919,265d28m09.2238s,-20d48m30.6725s
9,2020-03-31,00:10:05.405,265d18m33.5303s,-21d08m06.9565s
10,2020-03-31,00:11:31.892,265d08m55.9368s,-21d27m42.9713s
11,2020-03-31,00:12:58.378,264d59m16.3936s,-21d47m18.7066s
12,2020-03-31,00:14:24.865,264d49m34.8501s,-22d06m54.1522s
13,2020-03-31,00:15:51.351,264d39m51.255s,-22d26m29.2979s
14,2020-03-31,00:17:17.838,264d30m05.5567s,-22d46m04.1331s
15,2020-03-31,00:18:44.324,264d20m17.7025s,-23d05m38.6473s
16,2020-03-31,00:20:10.811,264d10m27.6392s,-23d25m12.8297s
17,2020-03-31,00:21:37.297,264d00m35.3129s,-23d44m46.6695s
18,2020-03-31,00:23:03.784,263d50m40.6688s,-24d04m20.1556s
19,2020-03-31,00:24:30.270,263d40m43.6515s,-24d23m53.277s
20,2020-03-31,00:25:56.757,263d30m44.2047s,-24d43m26.0223s
21,2020-03-31,00:27:23.243,263d20m42.2714s,-25d02m58.3801s
22,2020-03-31,00:28:49.730,263d10m37.7937s,-25d22m30.3388s
23,2020-03-31,00:30:16.216,263d00m30.7128s,-25d42m01.8867s
24,2020-03-31,00:31:42.703,262d50m20.9691s,-26d01m33.0117s
25,2020-03-31,00:33:09.189,262d40m08.5021s,-26d21m03.7018s
26,2020-03-31,00:34:35.676,262d29m53.2504s,-26d40m33.9448s
27,2020-03-31,00:36:02.162,262d19m35.1516s,-27d00m03.7282s
28,2020-03-31,00:37:28.649,262d09m14.1423s,-27d19m33.0393s
29,2020-03-31,00:38:55.135,261d58m50.1583s,-27d39m01.8652s
30,2020-03-31,00:40:21.622,261d48m23.1341s,-27d58m30.193s
31,2020-03-31,00:41:48.108,261d37m53.0035s,-28d17m58.0095s
32,2020-03-31,00:43:14.595,261d27m19.6988s,-28d37m25.301s
33,2020-03-31,00:44:41.081,261d16m43.1515s,-28d56m52.0541s
34,2020-03-31,00:46:07.568,261d06m03.2919s,-29d16m18.2548s
35,2020-03-31,00:47:34.054,260d55m20.0492s,-29d35m43.8889s
36,2020-03-31,00:49:00.541,260d44m33.3513s,-29d55m08.9422s
37,2020-03-31,00:50:27.027,260d33m43.1249s,-30d14m33.4s
38,2020-03-31,00:51:53.514,260d22m49.2956s,-30d33m57.2474s
39,2020-03-31,00:53:20.000,260d11m51.7874s,-30d53m20.4695s
40,2020-03-31,00:54:46.486,260d00m50.5232s,-31d12m43.0507s
41,2020-03-31,00:56:12.973,259d49m45.4247s,-31d32m04.9755s
42,2020-03-31,00:57:39.459,259d38m36.4118s,-31d51m26.228s
43,2020-03-31,00:59:05.946,259d27m23.4035s,-32d10m46.7919s
44,2020-03-31,01:00:32.432,259d16m06.3168s,-32d30m06.6507s
45,2020-03-31,01:01:58.919,259d04m45.0675s,-32d49m25.7876s
46,2020-03-31,01:03:25.405,258d53m19.57s,-33d08m44.1856s
47,2020-03-31,01:04:51.892,258d41m49.7368s,-33d28m01.827s
48,2020-03-31,01:06:18.378,258d30m15.479s,-33d47m18.6943s
49,2020-03-31,01:07:44.865,258d18m36.7059s,-34d06m34.7693s
50,2020-03-31,01:09:11.351,258d06m53.3253s,-34d25m50.0334s
51,2020-03-31,01:10:37.838,257d55m05.2431s,-34d45m04.4679s
52,2020-03-31,01:12:04.324,257d43m12.3634s,-35d04m18.0535s
53,2020-03-31,01:13:30.811,257d31m14.5886s,-35d23m30.7708s
54,2020-03-31,01:14:57.297,257d19m11.8191s,-35d42m42.5996s
55,2020-03-31,01:16:23.784,257d07m03.9534s,-36d01m53.5197s
56,2020-03-31,01:17:50.270,256d54m50.8881s,-36d21m03.5101s
57,2020-03-31,01:19:16.757,256d42m32.5176s,-36d40m12.5498s
58,2020-03-31,01:20:43.243,256d30m08.7344s,-36d59m20.617s
59,2020-03-31,01:22:09.730,256d17m39.4288s,-37d18m27.6896s
60,2020-03-31,01:23:36.216,256d05m04.4888s,-37d37m33.745s
61,2020-03-31,01:25:02.703,255d52m23.8003s,-37d56m38.7601s
62,2020-03-31,01:26:29.189,255d39m37.2469s,-38d15m42.7114s
63,2020-03-31,01:27:55.676,255d26m44.7097s,-38d34m45.5747s
64,2020-03-31,01:29:22.162,255d13m46.0675s,-38d53m47.3256s
65,2020-03-31,01:30:48.649,255d00m41.1965s,-39d12m47.9387s
66,2020-03-31,01:32:15.135,254d47m29.9706s,-39d31m47.3885s
67,2020-03-31,01:33:41.622,254d34m12.2606s,-39d50m45.6487s
68,2020-03-31,01:35:08.108,254d20m47.9352s,-40d09m42.6923s
69,2020-03-31,01:36:34.595,254d07m16.8599s,-40d28m38.492s
70,2020-03-31,01:38:01.081,253d53m38.8976s,-40d47m33.0195s
71,2020-03-31,01:39:27.568,253d39m53.9083s,-41d06m26.2462s
72,2020-03-31,01:40:54.054,253d26m01.7488s,-41d25m18.1427s
73,2020-03-31,01:42:20.541,253d12m02.2732s,-41d44m08.6788s
74,2020-03-31,01:43:47.027,252d57m55.3322s,-42d02m57.8237s
75,2020-03-31,01:45:13.514,252d43m40.7734s,-42d21m45.546s
76,2020-03-31,01:46:40.000,252d29m18.4412s,-42d40m31.8133s
77,2020-03-31,01:48:06.486,252d14m48.1765s,-42d59m16.5926s
78,2020-03-31,01:49:32.973,252d00m09.8168s,-43d17m59.8501s
79,2020-03-31,01:50:59.459,251d45m23.196s,-43d36m41.551s
80,2020-03-31,01:52:25.946,251d30m28.1445s,-43d55m21.66s
81,2020-03-31,01:53:52.432,251d15m24.4889s,-44d14m00.1406s
82,2020-03-31,01:55:18.919,251d00m12.052s,-44d32m36.9555s
83,2020-03-31,01:56:45.405,250d44m50.6527s,-44d51m12.0665s
84,2020-03-31,01:58:11.892,250d29m20.1058s,-45d09m45.4345s
85,2020-03-31,01:59:38.378,250d13m40.2222s,-45d28m17.0194s
86,2020-03-31,02:01:04.865,249d57m50.8083s,-45d46m46.7801s
87,2020-03-31,02:02:31.351,249d41m51.6666s,-46d05m14.6742s
88,2020-03-31,02:03:57.838,249d25m42.5947s,-46d23m40.6586s
89,2020-03-31,02:05:24.324,249d09m23.386s,-46d42m04.689s
90,2020-03-31,02:06:50.811,248d52m53.8293s,-47d00m26.7197s
91,2020-03-31,02:08:17.297,248d36m13.7085s,-47d18m46.704s
92,2020-03-31,02:09:43.784,248d19m22.8027s,-47d37m04.5941s
93,2020-03-31,02:11:10.270,248d02m20.886s,-47d55m20.3409s
94,2020-03-31,02:12:36.757,247d45m07.7276s,-48d13m33.8937s
95,2020-03-31,02:14:03.243,247d27m43.0912s,-48d31m45.2009s
96,2020-03-31,02:15:29.730,247d10m06.7354s,-48d49m54.2092s
97,2020-03-31,02:16:56.216,246d52m18.4133s,-49d08m00.8641s
98,2020-03-31,02:18:22.703,246d34m17.8726s,-49d26m05.1094s
99,2020-03-31,02:19:49.189,246d16m04.8549s,-49d44m06.8877s
100,2020-03-31,02:21:15.676,245d57m39.0965s,-50d02m06.1397s
101,2020-03-31,02:22:42.162,245d39m00.3274s,-50d20m02.8048s
102,2020-03-31,02:24:08.649,245d20m08.2718s,-50d37m56.8205s
103,2020-03-31,02:25:35.135,245d01m02.6476s,-50d55m48.1227s
104,2020-03-31,02:27:01.622,244d41m43.1663s,-51d13m36.6456s
105,2020-03-31,02:28:28.108,244d22m09.5332s,-51d31m22.3214s
106,2020-03-31,02:29:54.595,244d02m21.4469s,-51d49m05.0806s
107,2020-03-31,02:31:21.081,243d42m18.5994s,-52d06m44.8517s
108,2020-03-31,02:32:47.568,243d22m00.676s,-52d24m21.5612s
109,2020-03-31,02:34:14.054,243d01m27.3548s,-52d41m55.1334s
110,2020-03-31,02:35:40.541,242d40m38.3073s,-52d59m25.4907s
111,2020-03-31,02:37:07.027,242d19m33.1974s,-53d16m52.5532s
112,2020-03-31,02:38:33.514,241d58m11.6822s,-53d34m16.2388s
