,hostname,pl_letter,pl_name,pl_orbper,pl_orbsmax,pl_radj,pl_bmassj,ra,dec,pl_orbincl,pl_orbeccen,pl_orbpererr1,pl_orbpererr2,sy_vmag,sy_hmag,sy_jmag,sy_kmag,st_teff,st_rad,st_mass,pl_eqt,pl_trandep,pl_trandur,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2
0,GJ 9827,c,GJ 9827 c,3.6480957,0.03925,0.111,0.00264,351.7717763,-1.2853435,88.19,0.0,6.33e-05,-6.21e-05,10.37,7.379,7.984,7.193,4340.0,0.6,0.61,721.9,0.0361,1.82496,2457742.1993,0.00072,-0.00073
1,GJ 9827,d,GJ 9827 d,6.2014698,0.05591,0.18,0.012709999999999999,351.7717763,-1.2853435,87.443,0.0,6.26e-05,-6.11e-05,10.37,7.379,7.984,7.193,4340.0,0.6,0.61,604.9,0.0957,1.2228,2457740.96115,0.00044,-0.00045
7,K2-137,b,K2-137 b,0.179715,0.0058,0.079,0.5,186.870426,-6.1952168,89.6,0.0,1e-06,-1e-06,15.94,11.126,11.764,10.882,3492.0,0.44,0.46,1471.0,,0.6288,2457583.0242,0.0004,-0.0004
8,Ross 128,b,Ross 128 b,9.8658,0.0496,0.099,0.0044,176.9376036,0.7992898,,0.116,0.007,-0.007,11.12,5.945,6.505,5.654,3192.0,0.2,0.17,301.0,,,,,
9,HD 76920,b,HD 76920 b,415.4,1.149,1.16,3.93,133.820353,-67.26536209999999,,0.856,0.2,-0.2,7.83,5.409,5.946,5.253,4698.0,7.47,1.17,,,,,,
15,K2-139,b,K2-139 b,28.380619,0.1796,0.813,0.387,289.066707,-17.9107147,89.557,0.12,0.000551,-0.000528,11.652,9.768,10.177,9.66,5370.0,0.88,0.96,524.0,1.1093,4.9392,2457325.8175,0.00058,-0.00059
18,K2-18,c,K2-18 c,8.962,0.06,0.23600000000000002,0.02363,172.560141,7.5878315,,0.47,0.008,-0.008,13.477,9.135,9.763,8.899,3457.0,0.41,0.36,363.0,,,,,
19,HD 176986,b,HD 176986 b,6.4898,0.06296,0.20199999999999999,0.01806,285.7739138,-11.044941,,0.066,0.00086,-0.00086,8.42,6.34,6.797,6.22,4931.0,0.78,0.79,,,,,,
20,HD 176986,c,HD 176986 c,16.8191,0.11878,0.266,0.02888,285.7739138,-11.044941,,0.111,0.0044,-0.0044,8.42,6.34,6.797,6.22,4931.0,0.78,0.79,,,,,,
23,K2-140,b,K2-140 b,6.56918,0.0687,1.093,1.019,188.13731719999998,-9.6076115,89.64399999999999,0.12,4e-05,-4e-05,12.727,11.068,11.421,10.995,5705.0,0.99,1.0,957.0,1.28,4.56,2457588.2851,0.0002,-0.0002
28,HATS-51,b,HATS-51 b,3.3488702,0.04639,1.41,0.768,102.8474248,-29.058655100000003,87.1,0.33,3.9e-06,-3.9e-06,12.525,10.955,11.241,10.867,5758.0,1.44,1.19,1553.0,,3.3216,2457042.00405,0.00058,-0.00058
31,K2-138,b,K2-138 b,2.35322,0.0338,0.14,0.00972,348.9490311,-10.8497391,86.9,0.403,0.00036,-0.00036,12.246,10.384,10.756,10.305,5378.0,0.86,0.93,,,1.73,2457773.317,0.0037,-0.0038
32,K2-138,c,K2-138 c,3.55987,0.044539999999999996,0.225,0.0217,348.9490311,-10.8497391,87.5,0.296,0.00023,-0.00022,12.246,10.384,10.756,10.305,5378.0,0.86,0.93,,,2.329,2457740.3223,0.0025,-0.0027
33,K2-138,d,K2-138 d,5.40478,0.05882999999999999,0.237,0.0238,348.9490311,-10.8497391,87.9,0.348,0.00048,-0.00046,12.246,10.384,10.756,10.305,5378.0,0.86,0.93,,,2.97,2457743.1607,0.0036,-0.0037
34,K2-138,e,K2-138 e,8.26144,0.07807,0.294,0.0341,348.9490311,-10.8497391,88.7,0.315,0.00045,-0.00044,12.246,10.384,10.756,10.305,5378.0,0.86,0.93,,,3.063,2457740.6451,0.002,-0.0021
35,K2-138,f,K2-138 f,12.75759,0.1043,0.251,0.0261,348.9490311,-10.8497391,89.03,0.364,0.00092,-0.00092,12.246,10.384,10.756,10.305,5378.0,0.86,0.93,,,3.19,2457738.7019,0.0033,-0.0035
38,K2-141,b,K2-141 b,0.2803244,0.00716,0.135,0.01598,350.91704639999995,-1.1891827,86.3,0.0,1.5e-06,-1.5e-06,11.454,8.524,9.086,8.401,4599.0,0.68,0.71,2039.0,,0.94,2457744.0716,0.00022,-0.00022
39,K2-141,c,K2-141 c,7.7485,,0.624,0.023280000000000002,350.91704639999995,-1.1891827,87.2,0.0,0.00022,-0.00022,11.454,8.524,9.086,8.401,4599.0,0.68,0.71,,,,2457751.1546,0.001,-0.001
43,K2-147,b,K2-147 b,0.961917,0.0159,0.12300000000000001,0.0078,293.8330329,-28.498475,,,2.6e-05,-2.6e-05,14.044,10.186,10.835,9.997,3672.0,0.55,0.58,,0.0654,1.0296,2457301.94616,0.00125,-0.00125
44,K2-148,b,K2-148 b,4.38395,0.0454,0.11900000000000001,0.00733,14.5176494,-0.19325799999999999,,,0.0008,-0.0008,13.627,10.457,11.082,10.292,4079.0,0.63,0.65,,0.0324,1.776,2457390.05956,0.009609999999999999,-0.009609999999999999
45,K2-148,c,K2-148 c,6.9226,0.0616,0.154,0.0115,14.5176494,-0.19325799999999999,,,0.0007,-0.0007,13.627,10.457,11.082,10.292,4079.0,0.63,0.65,,0.0537,2.0304,2457387.72777,0.00458,-0.00458
