,hostname,pl_letter,pl_name,pl_orbper,pl_orbsmax,pl_radj,pl_bmassj,ra,dec,pl_orbincl,pl_orbeccen,pl_orbpererr1,pl_orbpererr2,sy_vmag,sy_hmag,sy_jmag,sy_kmag,st_teff,st_rad,st_mass,pl_eqt,pl_trandep,pl_trandur,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2
0,GJ 9827,c,GJ 9827 c,3.6480957,0.03925,0.111,0.00264,351.7717763,-1.2853435,88.19,0.0,6.33e-05,-6.21e-05,10.37,7.379,7.984,7.193,4340.0,0.6,0.61,721.9,0.0361,1.82496,2457742.1993,0.00072,-0.00073
1,GJ 9827,d,GJ 9827 d,6.2014698,0.05591,0.18,0.012709999999999999,351.7717763,-1.2853435,87.443,0.0,6.26e-05,-6.11e-05,10.37,7.379,7.984,7.193,4340.0,0.6,0.61,604.9,0.0957,1.2228,2457740.96115,0.00044,-0.00045
8,Ross 128,b,Ross 128 b,9.8658,0.0496,0.099,0.0044,176.9376036,0.7992898,,0.116,0.007,-0.007,11.12,5.945,6.505,5.654,3192.0,0.2,0.17,301.0,,,,,
18,K2-18,c,K2-18 c,8.962,0.06,0.23600000000000002,0.02363,172.560141,7.5878315,,0.47,0.008,-0.008,13.477,9.135,9.763,8.899,3457.0,0.41,0.36,363.0,,,,,
19,HD 176986,b,HD 176986 b,6.4898,0.06296,0.20199999999999999,0.01806,285.7739138,-11.044941,,0.066,0.00086,-0.00086,8.42,6.34,6.797,6.22,4931.0,0.78,0.79,,,,,,
20,HD 176986,c,HD 176986 c,16.8191,0.11878,0.266,0.02888,285.7739138,-11.044941,,0.111,0.0044,-0.0044,8.42,6.34,6.797,6.22,4931.0,0.78,0.79,,,,,,
38,K2-141,b,K2-141 b,0.2803244,0.00716,0.135,0.01598,350.91704639999995,-1.1891827,86.3,0.0,1.5e-06,-1.5e-06,11.454,8.524,9.086,8.401,4599.0,0.68,0.71,2039.0,,0.94,2457744.0716,0.00022,-0.00022
39,K2-141,c,K2-141 c,7.7485,,0.624,0.023280000000000002,350.91704639999995,-1.1891827,87.2,0.0,0.00022,-0.00022,11.454,8.524,9.086,8.401,4599.0,0.68,0.71,,,,2457751.1546,0.001,-0.001
58,HD 215152,d,HD 215152 d,10.86499,0.08799,0.132,0.00881,340.83809410000003,-6.4020684999999995,,0.0,0.00564,-0.00613,8.11,5.895,6.353,5.775,4935.0,0.73,0.77,,,,,,
59,HD 215152,e,HD 215152 e,25.1967,0.15417,0.134,0.00905,340.83809410000003,-6.4020684999999995,,0.0,0.0476,-0.0505,8.11,5.895,6.353,5.775,4935.0,0.73,0.77,,,,,,
74,K2-233,b,K2-233 b,2.46746,0.03317,0.125,0.00798,230.4799011,-20.2317975,88.79,0.0,0.00014,-0.00014,10.883,8.501,8.968,8.375,4950.0,0.74,0.8,1040.0,,1.969,2457991.691,0.0026,-0.0025
75,K2-233,c,K2-233 c,7.06142,0.06687,0.11900000000000001,0.007379999999999999,230.4799011,-20.2317975,88.95,0.0,0.00084,-0.00084,10.883,8.501,8.968,8.375,4950.0,0.74,0.8,728.0,,2.65,2457996.3522,0.0056,-0.0057
76,K2-233,d,K2-233 d,24.3662,0.1527,0.23600000000000002,0.0235,230.4799011,-20.2317975,89.35,0.0,0.0021,-0.0021,10.883,8.501,8.968,8.375,4950.0,0.74,0.8,482.0,,3.808,2458005.5801,0.0025,-0.0024
102,GJ 1132,c,GJ 1132 c,8.929,0.0476,0.128,0.00831,153.7090696,-47.1549358,,0.27,0.01,-0.01,13.68,8.666,9.245,8.322,3270.0,0.21,0.18,300.0,,,,,
127,HD 26965,b,HD 26965 b,42.378,,0.254,0.02665,63.808266599999996,-7.6676027,,0.04,0.01,-0.01,4.42018,2.594,3.013,2.498,5072.0,0.87,0.78,,,,,,
130,K2-261,b,K2-261 b,11.63344,0.102,0.85,0.223,163.0323119,0.493167,88.4,0.39,0.00012,-0.00012,10.612,8.92,9.337,8.89,5537.0,1.65,1.1,1080.0,0.2801,5.112,2457906.84084,0.00054,-0.00067
132,Wolf 503,b,Wolf 503 b,6.00118,0.0571,0.18100000000000002,0.015,206.8461979,-6.139336900000001,,,8e-05,-0.00011,10.27,7.774,8.324,7.617,4716.0,0.69,0.69,805.0,,1.321,2458185.36087,0.00053,-0.00037999999999999997
146,K2-266,b,K2-266 b,0.658524,0.013059999999999999,0.294,0.03545,157.9356855,0.9372782,75.32,,1.7e-05,-1.7e-05,11.625,9.041,9.611,8.897,4285.0,0.7,0.69,1515.0,0.18,0.33336,2457949.6747,0.0032,-0.0032
147,K2-266,c,K2-266 c,7.814,0.0679,0.063,0.00091,157.9356855,0.9372782,88.28,0.042,0.0019,-0.0016,11.625,9.041,9.611,8.897,4285.0,0.7,0.69,664.5,0.0085,2.256,2457946.651,0.0064,-0.0064
148,K2-266,d,K2-266 d,14.697,0.1035,0.261,0.028,157.9356855,0.9372782,89.46,0.047,0.00034,-0.00035,11.625,9.041,9.611,8.897,4285.0,0.7,0.69,538.3,0.1465,3.408,2457944.8393,0.0012,-0.0012
149,K2-266,e,K2-266 e,19.482,0.1249,0.244,0.044989999999999995,157.9356855,0.9372782,89.45,0.043,0.0012,-0.0012,11.625,9.041,9.611,8.897,4285.0,0.7,0.69,490.1,0.127,3.6648,2457938.541,0.0013,-0.0013
