,pl_hostname,pl_letter,pl_name,pl_discmethod,pl_controvflag,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_ttvflag,pl_kepflag,pl_k2flag,ra_str,ra,dec_str,dec,st_dist,st_disterr1,st_disterr2,st_distlim,gaia_dist,gaia_disterr1,gaia_disterr2,gaia_distlim,st_optmag,st_optmagerr,st_optmaglim,gaia_gmag,gaia_gmagerr,gaia_gmaglim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_mass,st_masserr1,st_masserr2,st_masslim,st_rad,st_raderr1,st_raderr2,st_radlim,rowupdate,pl_tranflag,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim,pl_trandur,pl_trandurerr1,pl_trandurerr2,pl_trandurlim,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,pl_imppar,pl_impparerr1,pl_impparerr2,pl_impparlim,pl_facility,st_j,st_jerr,st_jlim,st_h,st_herr,st_hlim,dec_str_deg
164,HIP 116454,b,HIP 116454 b,Transit,0,1,9.1205,0.0005,-0.0005,0.0,,,,,0.2,0.07,-0.07,0.0,88.43,0.4,-0.4,0.0,0.04,0.01,-0.01,0.0,Mass,0.22,0.01,-0.01,0.0,,,,,0,0,1,23h35m49.28s,353.955353,+00d26m43.9s,0.44551599999999997,62.56,0.18,-0.18,0.0,62.56,0.18,-0.18,0.0,10.19,0.009000000000000001,0.0,9.932,,0.0,5089.0,50.0,-50.0,0.0,0.81,0.11,-0.11,0.0,0.72,0.02,-0.02,0.0,2018-04-26,1,12.7132,3.1783,-3.1783,0.0,,,,,,,,,,,,,K2,8.604,0.021,0.0,8.14,0.033,0.0,0.4455277777777778
170,K2-3,b,K2-3 b,Transit,0,3,10.054626,1e-05,-1.1e-05,0.0,,,,,0.0,,,0.0,89.588,0.11599999999999999,-0.1,0.0,0.020390000000000002,0.0031100000000000004,-0.00293,0.0,Mass,,,,,3.7,1.67,-1.08,0.0,0,0,1,11h29m20.39s,172.334946,-01d27m17.2s,-1.454787,45.0,3.0,-3.0,0.0,44.13,0.11,-0.11,0.0,12.17,0.01,0.0,11.478,,0.0,3896.0,189.0,-189.0,0.0,0.6,0.09,-0.09,0.0,0.56,0.07,-0.07,0.0,2020-05-07,1,6.48,0.99,-0.93,0.0,,,,,2456813.41843,0.00041,-0.00041,0.0,0.22,0.05,-0.06,0.0,K2,9.421,0.027000000000000003,0.0,8.805,0.044000000000000004,0.0,-0.5452222222222223
171,K2-3,c,K2-3 c,Transit,0,3,24.646582,4.1e-05,-4e-05,0.0,,,,,0.0,,,0.0,89.905,0.066,-0.08800000000000001,0.0,0.00673,0.0034,-0.0032700000000000003,0.0,Mass,,,,,2.98,1.96,-1.5,0.0,0,0,1,11h29m20.39s,172.334946,-01d27m17.2s,-1.454787,45.0,3.0,-3.0,0.0,44.13,0.11,-0.11,0.0,12.17,0.01,0.0,11.478,,0.0,3896.0,189.0,-189.0,0.0,0.6,0.09,-0.09,0.0,0.56,0.07,-0.07,0.0,2020-05-07,1,2.14,1.08,-1.04,0.0,,,,,2456812.28018,0.00098,-0.001,0.0,0.09,0.08,-0.06,0.0,K2,9.421,0.027000000000000003,0.0,8.805,0.044000000000000004,0.0,-0.5452222222222223
172,K2-3,d,K2-3 d,Transit,0,3,44.55646,0.00011,-0.0001,0.0,,,,,0.0,,,0.0,89.788,0.033,-0.028999999999999998,0.0,0.00881,,,0.0,Mass,,,,,5.62,,,0.0,0,0,1,11h29m20.39s,172.334946,-01d27m17.2s,-1.454787,45.0,3.0,-3.0,0.0,44.13,0.11,-0.11,0.0,12.17,0.01,0.0,11.478,,0.0,3896.0,189.0,-189.0,0.0,0.6,0.09,-0.09,0.0,0.56,0.07,-0.07,0.0,2020-05-07,1,2.8,,,0.0,,,,,2456826.22346,0.00056,-0.00056,0.0,0.3,0.04,-0.05,0.0,K2,9.421,0.027000000000000003,0.0,8.805,0.044000000000000004,0.0,-0.5452222222222223
580,GJ 1214,b,GJ 1214 b,Transit,0,1,1.58040456,1.6e-07,-1.6e-07,0.0,0.01411,0.00032,-0.00032,0.0,,,,,88.17,0.54,-0.54,0.0,0.0197,0.0027,-0.0027,0.0,Mass,0.254,0.018000000000000002,-0.018000000000000002,0.0,1.49,0.33,-0.33,0.0,0,0,0,17h15m18.92s,258.828837,+04d57m50.1s,4.96392,14.65,0.04,-0.04,0.0,14.65,0.04,-0.04,0.0,15.1,0.6,0.0,13.009,,0.0,3026.0,150.0,-150.0,0.0,0.15,0.01,-0.01,0.0,0.22,0.01,-0.01,0.0,2015-12-03,1,6.26125,0.85814,-0.85814,0.0,,,,,2455320.5357330004,2.1e-05,-2.1e-05,0.0,,,,,MEarth Project,9.75,0.024,0.0,9.094,0.024,0.0,4.963916666666667
1458,WASP-126,b,WASP-126 b,Transit,0,2,3.28883,3.71e-05,-3.71e-05,0.0,,,,,,,,,89.51,0.435,-0.435,0.0,0.28411,,,0.0,Mass,,,,,,,,,1,0,0,04h13m29.73s,63.373865,-69d13m36.5s,-69.226807,234.0,15.0,-15.0,0.0,217.89,0.94,-0.94,0.0,10.8,0.5,0.0,11.065999999999999,,0.0,5800.0,,,0.0,1.12,,,0.0,1.27,,,0.0,2019-12-05,1,90.3,,,0.0,,,,,,,,,,,,,SuperWASP-South,9.962,0.017,0.0,9.658999999999999,0.021,0.0,-68.77319444444444
1644,GJ 1132,b,GJ 1132 b,Transit,0,2,1.628931,2.7e-05,-2.7e-05,0.0,0.0153,0.0005,-0.0005,0.0,0.22,,,0.0,,,,0.0,0.005220000000000001,0.00072,-0.00072,0.0,Mass,0.10099999999999999,0.005,-0.005,0.0,6.3,1.3,-1.3,0.0,0,0,0,10h14m51.78s,153.71573700000002,-47d09m24.2s,-47.156727000000004,12.62,0.01,-0.01,0.0,12.62,0.01,-0.01,0.0,13.49,0.03,0.0,12.138,,0.0,3270.0,140.0,-140.0,0.0,0.18,0.02,-0.02,0.0,0.21,0.01,-0.01,0.0,2020-06-04,1,1.66,0.23,-0.23,0.0,,,,0.0,,,,0.0,,,,0.0,Cerro Tololo Inter-American Observatory,9.245,0.026000000000000002,0.0,8.666,0.031,0.0,-46.84327777777778
1647,K2-24,b,K2-24 b,Transit,0,2,20.88977,0.00034,-0.00035,0.0,,,,,0.06,0.01,-0.01,0.0,,,,,0.05977999999999999,0.00692,-0.0066099999999999996,0.0,Mass,0.48200000000000004,0.018000000000000002,-0.018000000000000002,0.0,0.64,0.12,-0.1,0.0,1,0,1,16h10m17.69s,242.573715,-24d59m25.2s,-24.990332000000002,171.39,1.35,-1.35,0.0,171.39,1.35,-1.35,0.0,11.07,0.11,0.0,10.907,,0.0,5625.0,60.0,-60.0,0.0,1.07,0.06,-0.06,0.0,1.16,0.04,-0.04,0.0,2018-12-13,1,19.0,2.2,-2.1,0.0,,,,,2456905.8855,0.0055,-0.0053,0.0,,,,,K2,9.635,0.024,0.0,9.294,0.021,0.0,-23.009666666666664
1648,K2-24,c,K2-24 c,Transit,0,2,42.3391,0.0012,-0.0012,0.0,,,,,0.07,,,1.0,,,,,0.04845,0.00598,-0.00566,0.0,Mass,0.669,0.027000000000000003,-0.027000000000000003,0.0,0.2,0.04,-0.03,0.0,1,0,1,16h10m17.69s,242.573715,-24d59m25.2s,-24.990332000000002,171.39,1.35,-1.35,0.0,171.39,1.35,-1.35,0.0,11.07,0.11,0.0,10.907,,0.0,5625.0,60.0,-60.0,0.0,1.07,0.06,-0.06,0.0,1.16,0.04,-0.04,0.0,2018-12-13,1,15.4,1.9,-1.8,0.0,,,,,2456915.4485,0.0078,-0.0079,0.0,,,,,K2,9.635,0.024,0.0,9.294,0.021,0.0,-23.009666666666664
1737,K2-18,b,K2-18 b,Transit,0,2,32.939623,9.5e-05,-0.0001,0.0,0.1429,0.006,-0.0065,0.0,0.2,0.08,-0.08,0.0,,,,,0.028069999999999998,0.00535,-0.00503,0.0,Mass,0.21100000000000002,0.02,-0.02,0.0,4.11,1.72,-1.18,0.0,0,0,1,11h30m14.51s,172.56045500000002,+07d35m18.2s,7.5883910000000006,38.07,0.08,-0.08,0.0,38.07,0.08,-0.08,0.0,13.495999999999999,0.05,0.0,12.415,,0.0,3457.0,39.0,-39.0,0.0,0.36,0.05,-0.05,0.0,0.41,0.04,-0.04,0.0,2019-03-21,1,8.92,1.7,-1.6,0.0,,,,,2457264.3914400004,0.00065,-0.00065,0.0,,,,,K2,9.763,0.027999999999999997,0.0,9.135,0.026000000000000002,0.0,7.588388888888889
1921,KELT-10,b,KELT-10 b,Transit,0,1,4.1662739,6.3e-06,-6.3e-06,0.0,0.0525,0.00086,-0.0009699999999999999,0.0,,,,,88.61,0.86,-0.74,0.0,0.679,0.039,-0.038,0.0,Mass,1.399,0.069,-0.049,0.0,0.308,0.033,-0.04,0.0,0,0,0,18h58m11.61s,284.548373,-47d00m11.7s,-47.003242,183.0,14.0,-14.0,0.0,189.39,2.16,-2.16,0.0,10.854000000000001,0.043,0.0,10.700999999999999,,0.0,5948.0,74.0,-74.0,0.0,1.11,0.06,-0.06,0.0,1.21,0.05,-0.04,0.0,2016-04-28,1,215.80657000000002,12.39537,-12.077539999999999,0.0,0.156,0.0016,-0.0012,0.0,2457066.72045,0.00027,-0.00027,0.0,0.23,0.11,-0.14,0.0,KELT-South,9.693,0.019,0.0,9.388,0.022000000000000002,0.0,-46.99675
2619,K2-39,b,K2-39 b,Transit,0,1,4.60543,0.00046,-0.00046,0.0,,,,,0.0,,,0.0,80.39,4.19,-4.19,0.0,0.09,0.05,-0.05,0.0,Mass,0.56,0.15,-0.15,0.0,,,,,0,0,1,22h33m28.41s,338.368378,-09d01m22.0s,-9.022769,310.14,4.7,-4.7,0.0,310.14,4.7,-4.7,0.0,10.83,0.08,0.0,10.595999999999998,,0.0,4881.0,20.0,-20.0,0.0,0.66,0.56,-0.56,0.0,2.97,0.77,-0.77,0.0,2018-04-26,1,28.6047,15.8915,-15.8915,0.0,,,,,,,,,,,,,K2,9.082,0.024,0.0,8.594,0.042,0.0,-8.977222222222222
2642,K2-38,b,K2-38 b,Transit,0,2,4.01593,0.0005,-0.0005,0.0,,,,,,,,,87.28,2.48,-2.48,0.0,0.06,0.03,-0.03,0.0,Mass,0.17,0.03,-0.03,0.0,,,,,0,0,1,16h00m08.06s,240.03358500000002,-23d11m21.4s,-23.189287,193.71,2.64,-2.64,0.0,193.71,2.64,-2.64,0.0,11.39,0.03,0.0,11.184000000000001,,0.0,5757.0,60.0,-60.0,0.0,2.24,1.67,-1.67,0.0,1.38,0.21,-0.21,0.0,2018-04-26,1,19.0698,9.5349,-9.5349,0.0,,,,,,,,,,,,,K2,9.911,0.024,0.0,9.6,0.026000000000000002,0.0,-22.81072222222222
