,Date
0,2020-03-31
1,2020-04-01
2,2020-04-02
3,2020-04-03
4,2020-04-04
5,2020-04-05
6,2020-04-06
7,2020-04-07
8,2020-04-08
9,2020-04-09
10,2020-04-10
11,2020-04-11
12,2020-04-12
13,2020-04-13
14,2020-04-14
15,2020-04-15
16,2020-04-16
17,2020-04-17
18,2020-04-18
19,2020-04-19
20,2020-04-20
21,2020-04-21
22,2020-04-22
23,2020-04-23
24,2020-04-24
25,2020-04-25
26,2020-04-26
27,2020-04-27
28,2020-04-28
29,2020-04-29
30,2020-04-30
31,2020-05-01
32,2020-05-02
33,2020-05-03
34,2020-05-04
35,2020-05-05
36,2020-05-06
37,2020-05-07
38,2020-05-08
39,2020-05-09
40,2020-05-10
41,2020-05-11
42,2020-05-12
43,2020-05-13
44,2020-05-14
45,2020-05-15
46,2020-05-16
47,2020-05-17
48,2020-05-18
49,2020-05-19
50,2020-05-20
51,2020-05-21
52,2020-05-22
53,2020-05-23
54,2020-05-24
55,2020-05-25
56,2020-05-26
57,2020-05-27
58,2020-05-28
59,2020-05-29
60,2020-05-30
61,2020-05-31
62,2020-06-01
63,2020-06-02
64,2020-06-03
65,2020-06-04
66,2020-06-05
67,2020-06-06
68,2020-06-07
69,2020-06-08
70,2020-06-09
71,2020-06-10
72,2020-06-11
73,2020-06-12
74,2020-06-13
75,2020-06-14
76,2020-06-15
77,2020-06-16
78,2020-06-17
79,2020-06-18
80,2020-06-19
81,2020-06-20
82,2020-06-21
83,2020-06-22
84,2020-06-23
85,2020-06-24
86,2020-06-25
87,2020-06-26
88,2020-06-27
89,2020-06-28
90,2020-06-29
91,2020-06-30
92,2020-07-01
93,2020-07-02
94,2020-07-03
95,2020-07-04
